Speaker,Line
Hank,I still think about the night your mother and I had to leave you.
Janet,"Hopefully, its not for long, but Ill call you when we get settled.When I have a better indication of whats going on."
Young Hope,Mommy.
Janet,"Oh, Jellybean. Daddy and I have a last minute business trip, so Rose is going to stay with you for a few days."
Young Hope,No. I dont want you to go.
Janet,Ugh. Its gonna be so boring. I wont be able to keep my. eyes.
Hank,"I wish we could have put down our bags, and tucked you back into your bed, but too many lives were at stake."
Hank,Oh my god. Theyve already launched.
Janet,We have to stop it. Come on.
Hank,"The only way to disarm the missile was to get inside it, but the plating was too thick. The only way in was to shrink between the molecules."
Janet,I cant get through. Hank.
Hank,"We both knew that if you go that small, theres no coming back."
Hank,"It should have been me, but my regulator was damaged. Your mothers wasnt."
Janet,Tell Hope I love her.
Hank,She turned it off.
Hank,"Janet, no."
Hank,
Hank,"Your mother saved thousands of lives that day, knowing shed be lost in the quantum realm. Alone. Afraid. Gone forever."
Hank,"Telling you that she wasnt coming home, was the hardest thing that I ever had to do."
Hank,"But then Scott showed up. Or should I say, broke into our house. And when he went to the quantum realm. and came back. Everything changed. I started to wonder. could your mother still be alive. So, I dusted off some old plans."
Hope,"Dad, what are you saying."
Hank,I think its possible to bring her back.
Scott,"Okay. Were in. Oh, this place is a maze. Wheres that map. Were definitely close. You ready."
Cassandra,"Im ready, Daddy."
Scott,"Are you sure. Cause once were inside, you show any hesitation or fear, were done."
Cassandra,I eat fear for breakfast.
Scott,"Wow. That is super cool. Come on. Look. Its Anton. Hell show us the way. Anton, which way do we go. Anton, which way do we go. Thanks, Anton. Look, the ants have burrowed into the tech facility."
Cassandra,"Oh no, lasers."
Scott,Oh. I think I got lased. The secret vault. Tell me you brought the contact lens.
Cassandra,Yup.
Scott,Perfect. Right there.
Cassandra,There. Its the micro-treasure.
Scott,My trophy.
Cassandra,It looks like treasure.
Scott,"Oh, it is to me."
Cassandra,I want to take it to show-and-tell.
Scott,"Oh, no, you cant do that. You cant. It never leaves the house. Its too important. This is the best birthday present you ever got me. Im so touched you think Im the worlds greatest grandma."
Cassandra,It was the only one they had.
Scott,It makes me want to knit you a sweater.
Cassandra,"Oh, no, the fuzz."
Luis,"Hey, Scotty. I was looking at the schematics for the Karapetyan buildings. and I think we have way too many security cameras, dont we."
Scott,"No, no, not at all."
Luis,"I mean, cause its a lot of security cameras."
Scott,I know what he needs. Whos the security expert in our business.
Luis,"You are, but Im running the company, right. And if we overquote him. hes gonna go somewhere else. I mean, we gotta land this bird."
Scott,He aint goin anywhere. And the expression is land this fish.
Luis,"No, its land the bird. Just like you land the plane. You gotta land the plane to be in business."
Scott,"I know its silly to get hung up on these kinds of things, but I do."
Luis,"How am I gonna land a fish. It cant walk. And if it swam up on shore. and it battled a hawk, whos gonna win."
Scott,"Youve really turned me around on this thing. Its okay. Were gonna land Karapetyan. Now, if you just excuse me. Im in the middle of trying to steal something with my daughter."
Luis,Im gonna go recheck it.
Cassandra,To the escape ant. Lets bounce before the po-po come back.
Luis,"The po-po. How do you even know that. Lets fly, Antoinette. Lets fly. Crash landing."
Cassandra,Whoo. I wish we could shrink for real.
Scott,Oh. That is pretty cool.
Luis,"Hey, Im headed to the office, Scotty. And sorry about freaking out earlier, you know. But I feel like Im way better. My heart is definitely beating way too hard and stuff. And my hands are shaking. But I think its unrelated, you know."
Scott,"Its gonna be great, Luis. You got nothing to worry about."
Luis,"Yeah, yeah. Im the boss. Im the boss. Im the boss. Yeah, yeah, yeah, yeah."
Cassandra,"Daddy. Come on, Woo. Ive got three days left. Why would I try to escape."
Woo,"Sorry, Scott, but rules are rules. You trip the perimeter alarm, we search the place. Keel to stern, soup to nuts."
Scott,Thank you. It was an accident. My foot went through the fence.
Cassandra,Our flying ant crashed.
Scott,"Hey, you try and entertain a 10-year-old when you cant leave the house. You know the lengths that Ive gone to. Close-up magic. I learned that."
Cassandra,Why cant you just leave my daddy alone.
Woo,"Oh, Cassie. This must all seem like a bunch of confusing grown-up stuff to you, huh. Well, think of it this way. Your school has rules, right. Like, you cant draw on the walls. Well, your daddy went to Germany and drew on the walls with Captain America. And that was a violation of Article 16, Paragraph Three of the Sokovia Accords. Now, as a part of his joint plea deal. with Homeland Security and the German government. he was allowed to return to the U.S. provided he serve two years under house arrest. followed by three years of probation. And avoid any unauthorized activities, technology. or contact with any former associates who were. or currently are in violation of said Accords. Or any related statutes. Okay, sweetie."
Scott,Wow. Youre really great with kids.
Woo,"Thanks. Im also a youth pastor. Anyway, not to be a Johnny ask-a-lot. but you havent had any contact with Hank Pym or Hope Van Dyne, have you."
Scott,No.
Woo,"You sure. Because its only a matter of time before we get em. It was their tech, so they violated the Accords, too. And associating with them breaks your deal. And, uh, I dont need to remind you. that any violation of your agreement means 20 years in prison. Minimum."
Scott,I havent talked to Hank or Hope in forever.
Cassandra,They hate his guts.
Scott,"Thanks, peanut."
Woo,"Howd you do it, Scott."
Scot,Do what.
Woo,The card trick.
Scott,Seriously.
Maggie,"Oh, my God. You people cant just show up here whenever you want and search the place."
Paxton,"Actually, they can."
Maggie,You need a warrant.
Paxton,"Actually, they dont."
Maggie,Really. Wow. Did you pack your soccer shoes.
Cassandra,Yeah.
Maggie,All right. Next time I see you will be on the outside.
Paxton,"All right. Oh, get on the inside of this. Hey, three days. Seriously. Im proud of you, bud."
Scott,Thank you.
Paxton,You know what. Give me another one.
Maggie,Me too. Gosh. Freedom. New business. I am sensing greatness.
Cassandra,"I had a fun weekend, Daddy."
Scott,"Me too, peanut. But just wait till next weekend. Once Im outta here, you and I are gonna go paint this town red. Well have so much ice cream, well never stop puking."
Maggie,Youre gettin good at that.
Paxton,Howd you do that.
Cassandra,"Bye, Daddy."
Maggie,Bye.
Scott,Bye.
Cassandra,Bye.
Scott,Three days. Easy-peasy. We had a dream ♪ Wed go travelin together ♪ Wed spread a little lovin then wed keep movin on ♪ Easy-peasy.
Cassandra,Where are you.
Hank,Everything that you know. Lost. in the quantum realm.
Scott,What.
Janet,"Im gonna find you, Jellybean. I found you."
Hope,"You always find me, Mommy."
Scott,"What the hell. Hey, Hank. Its been a while. Um, I dont even know if this is your number anymore. And Im probably the last person you wanna hear from. But I just had a really weird dream. And I know that doesnt sound like an emergency or anything. but it just felt very real. I was back in the quantum realm. and I think I saw your wife. And then I was your wife. I mean, not in a weird way or anything. You know, hearing this out loud, Im thinking, uh, its not an emergency. Im sorry to bother you. Im sorry for a lot of things."
TV,"That means, one tiny atom in my fingernail could be. Could be one, little, tiny universe."
Scott,Hope. Is this another dream.
Hope,Do you think it was a dream. or is it possible that you really saw my mom down there.
Scott,Im not sure. I cant be here. I cant be here. Im under house arrest.
Hope,"They wont open while the systems engaged, Scott."
Scott,You have to take me home. They could show up any second.
Hope,"Relax. As far as your nanny cops know, youre still at home."
Luis,Whoa. Scotty.
Hope,"Hes programmed to replicate your daily routine. Nine hours in bed. Five hours in front of the TV. Two hours in the bathroom, whatever thats about."
Scott,Thats totally inaccurate. And how do you know about my daily routine. Are you spying on me.
Hope,"We keep tabs on all security threats, all right. And so far the biggest one weve had is you."
Scott,"Im sorry about Germany. They just showed up. They said it was a matter of national security. That Cap needed help, so."
Hope,Cap.
Scott,"Tain America. Captain. Cap. Its what we call him. If youre a friend. Im not saying Im a friend of. A little, I know him. Hes nice. Whatever. Im sorry. All right. I didnt think Id get caught."
Hope,You didnt think about a lot of things.
Scott,Hows Hank.
Hope,"Were still running. The house is gone, so is our freedom. How do you think he is."
Scott,Im sorry. I know youre mad.
Hope,"Im not looking for an apology, Scott. The only reason why were even talking is. because we need whats in your head."
Scott,"Is this where youre living. If you need help or money or something, maybe I can."
Hope,Were fine.
Scott,"Hey, Hank. Look, I just wanna."
Hank,Save it. Can we start.
