Line,Strat Time,End Time
I still thinkabout the night,"00:00:03,840 "," 00:00:05,638"
your mother and Ihad to leave you.,"00:00:05,720 "," 00:00:07,473"
"Hopefully,it's not for long,","00:00:12,440 "," 00:00:14,318"
but I'll call youwhen we get settled.,"00:00:14,400 "," 00:00:16,312"
When I have a betterindication of what's going on.,"00:00:16,480 "," 00:00:18,456"
Mommy?,"00:00:18,480 "," 00:00:19,480"
Jellybean.,"00:00:22,480 "," 00:00:24,073"
Daddy and I havea lastminute business trip...,"00:00:26,040 "," 00:00:28,635"
so Rose is gonna stay with youfor a few days.,"00:00:28,840 "," 00:00:31,071"
No. I don't want you to go.,"00:00:31,240 "," 00:00:33,357"
Ugh. It's gonna be so boring.,"00:00:33,760 "," 00:00:36,559"
I won't be able to keep my...,"00:00:36,760 "," 00:00:38,240"
eyes...,"00:00:38,720 "," 00:00:39,836"
"Goodbye, sweetheart.All right, we'll see you soon.","00:00:43,200 "," 00:00:46,079"
Okay.,"00:00:46,840 "," 00:00:47,840"
"Janet, we gotta go.","00:00:48,240 "," 00:00:49,390"
I wish we could haveput down our bags...,"00:00:52,480 "," 00:00:54,756"
tucked you backinto your bed...,"00:00:54,920 "," 00:00:56,991"
but too many liveswere at stake.,"00:00:57,440 "," 00:01:00,433"
"Oh, my God.","00:01:04,240 "," 00:01:05,640"
They've already launched.,"00:01:05,800 "," 00:01:07,439"
We have to stop it.,"00:01:07,600 "," 00:01:08,716"
Come on.,"00:01:08,920 "," 00:01:09,920"
"To disarm the missile,we had to get inside it...","00:01:18,720 "," 00:01:21,872"
but the plating was too thick.,"00:01:22,040 "," 00:01:24,839"
The only way in was to shrinkbetween the molecules.,"00:01:25,000 "," 00:01:27,913"
I can't get through.,"00:01:31,360 "," 00:01:32,840"
Hank.,"00:01:34,120 "," 00:01:35,156"
We both knewthat if you go that small...,"00:01:35,920 "," 00:01:38,357"
there is no coming back.,"00:01:38,520 "," 00:01:40,590"
"It should have been me,but my regulator was damaged.","00:01:41,880 "," 00:01:45,669"
Your mother's wasn't.,"00:01:46,680 "," 00:01:48,831"
Tell Hope I love her.,"00:01:50,040 "," 00:01:51,997"
She turned it off.,"00:01:52,440 "," 00:01:53,440"
Janet. No!,"00:01:53,840 "," 00:01:54,956"
She went subatomicto deactivate the bomb.,"00:01:55,520 "," 00:01:57,512"
Your mother savedthousands of lives that day,"00:02:02,600 "," 00:02:06,389"
knowing she'd be lostin the quantum realm.,"00:02:06,600 "," 00:02:10,037"
Alone.,"00:02:11,280 "," 00:02:12,280"
Afraid.,"00:02:12,800 "," 00:02:13,800"
Gone forever.,"00:02:14,720 "," 00:02:16,439"
Telling you that she wasn'tcoming home...,"00:02:31,520 "," 00:02:34,160"
