Speaker,Line
Announcer,Report to your stations immediately. This is not a drill. We are under attack. We are under attack.
Tony Stark,Shit.
Steve Rogers,"Language. JARVIS, whats the view from upstairs."
JARVIS,The central building is protected by some kind of energy shield. Struckers technology is well beyond any other HYDRA base weve taken.
Thor,Lokis scepter must be here. Strucker couldnt mount this defense without it. At long last.
Natasha Romanoff,"“At long last” is lasting a little long, boys."
Clint Barton,Yeah. I think we lost the element of surprise.
Tony Stark,Wait a second. No one else is going to deal with the fact that Cap just said language.
Steve Rogers,I know. It just slipped out.
Strucker,Who gave the order to attack.
Fortress Soldier,"Herr Strucker, its the Avengers."
Other Fortress Soldier,"They landed in the far woods, the perimeter guard panicked."
Strucker,They have to be after the scepter. Can we hold them.
Fortress Soldier,They’re the Avengers.
Strucker,Deploy the rest of the tanks.
Fortress Soldier,"Yes, sir."
Strucker,Concentrate fire on the weak ones. A hit can make them close ranks. Everything weve accomplished. But were on the verge of our greatest breakthrough.
Dr. List,Then lets show them what weve accomplished. Send out the twins.
Strucker,Its too soon.
Dr. List,Its what they signed up for.
Strucker,My men can hold them.
Jarvis,"Sir, the city is taking fire."
Tony Stark,"Well, we know Struckers not going to worry about civilian casualties. Send in the Iron Legion."
Iron Legion,This quadrant is unsafe. Please back away. We are here to help. This quadrant is unsafe. Please back away. Please back away. We wish to avoid collateral damage and will inform you when this current conflict is resolved. We are here to help. We are here to help.
Strucker,We will not yield. The Americans sent their circus freaks to test us. We will send them back in bags. No surrender.
Soldiers,No surrender.
Strucker,"I am going to surrender. You will delete everything. If we give the Avengers the weapons, they may not look too far into what weve been--"
Dr. List,The twins.
Strucker,They are not ready to take on--
Dr. List,"No, no. I mean. Twins."
Pietro Maximoff,You didnt see that coming.
Natasha Romanoff,Clint.
Steve Rogers,We have an enhanced in the field.
Natasha Romanoff,Clints hit. Somebody want to deal with that bunker. Thank you.
Steve Rogers,"Stark, we really need to get inside."
Tony Stark,"Im closing in. JARVIS, am I.closing in. Do you see a power source for that shield."
JARVIS,Theres a particle wave below the north tower.
Tony Stark,"Great, I wanna poke it with something. Drawbridge is down, people."
Thor,The enhanced.
Steve Rogers,"Hes a blur. All the new players weve faced, Ive never seen this. In fact, I still havent."
Natasha Romanoff,"Clints hit pretty bad, guys. Were gonna need evac."
Thor,I can get Barton to the jet. The sooner were gone the better. You and Stark secure the scepter.
Steve Rogers,Copy that.
Thor,It looks like theyre lining up.
Steve Rogers,"Well, theyre excited."
Thor,Find the scepter.
Tony Stark,"And for gosh sake, watch your language."
Steve Rogers,Thats not going away anytime soon.
Tony Stark,"Guys, stop, we gotta talk this through. It was a good talk."
Fortress Soldier,No it wasnt.
Tony Stark,"Sentry mode. Okay, JARVIS. You know I want it all. Make sure you copy Hill at HQ."
Natasha Romanoff,Were locked down out here.
Steve Rogers,"Then get to Banner, time for a lullaby."
Tony Stark,"I know youre hiding more than files. Hey, J, give me an IR scan of the room, real quick."
JARVIS,The wall to your left.Im reading steel reinforcement. and an air current.
Tony Stark,"Please be a secret door, please be a secret door, please be a secret door. Yay."
Natasha Romanoff,"Hey, big guy. The suns getting real low."
Steve Rogers,Baron Strucker. Hydras number one thug.
Strucker,"Technically, Im a thug for SHIELD."
Steve Rogers,Well then technically youre unemployed. Wheres Lokis scepter.
Strucker,"Dont worry, I know when Im beat. Youll mention how I cooperated, I hope."
Steve Rogers,"Ill put it right under illegal human experimentation. How many are there. Wanda knocks Steve down using her telekinetic powers, then quickly leaves] We have a second enhanced. Female. Do not engage."
Strucker,Youll have to be faster than--
Steve Rogers,"Guys, I got Strucker."
Tony Stark,"Yeah, I got. something bigger. Thor, I got eyes on the prize."
Steve Rogers,You couldve saved us. Why didnt you do more.
Pietro Maximoff,Were just gonna let them take it.
AVENGERS,AGE OF ULTRON TITLE CARD
Natasha Romanoff,"Hey, the lullaby worked better than ever."
Bruce Banner,Just wasnt expecting the Code Green.
Natasha Romanoff,"If you hadnt been there, there wouldve been double the casualties. My best friend wouldve been a treasured memory."
Bruce Banner,"You know, sometimes exactly what I want to hear isnt exactly what I want to hear."
Natasha Romanoff,How long before you trust me.
Bruce Banner,Its not you I dont trust.
