Line,Strat Time,End Time
Report to your stations immediately.,"00:00:42,800 "," 00:00:44,802"
This is not a drill. We are under attack!,"00:00:44,960 "," 00:00:47,721"
We are under attack!,"00:00:49,120 "," 00:00:51,088"
 Shit! Language!,"00:01:52,200 "," 00:01:54,487"
"Jarvis, what's the view from upstairs?","00:01:54,600 "," 00:01:56,204"
The central building is protectedby some kind of energy shield.,"00:01:56,600 "," 00:02:00,286"
Strucker's technology is well beyondany other Hydra base we've taken.,"00:02:00,800 "," 00:02:04,522"
Loki's sceptre must be here.,"00:02:07,360 "," 00:02:08,930"
Strucker couldn't mount this defencewithout it.,"00:02:09,560 "," 00:02:11,440"
At long last.,"00:02:12,160 "," 00:02:13,730"
"At long lastis lasting a little long, boys.","00:02:25,200 "," 00:02:27,407"
Yeah. I think we lostthe element of surprise.,"00:02:32,320 "," 00:02:34,846"
Wait a second.No one else is gonna deal with the fact,"00:02:36,400 "," 00:02:38,607"
that Cap just said Language?,"00:02:38,760 "," 00:02:40,524"
I know.,"00:02:40,680 "," 00:02:42,205"
Just slipped out.,"00:02:47,240 "," 00:02:49,527"
Who gave the order to attack?,"00:02:55,600 "," 00:02:57,364"
"Herr Strucker, it's the Avengers.","00:02:57,480 "," 00:02:59,767"
They landed in the far woods.The perimeter guard panicked.,"00:02:59,920 "," 00:03:02,764"
They have to be after the sceptre.,"00:03:02,920 "," 00:03:04,843"
 Can we hold them? They're the Avengers.,"00:03:06,080 "," 00:03:08,447"
Deploy the rest of the tanks.,"00:03:08,560 "," 00:03:10,164"
Concentrate fire on the weak ones.,"00:03:10,320 "," 00:03:12,209"
A hit may make them close ranks.,"00:03:12,360 "," 00:03:14,681"
Everything we've accomplished...,"00:03:16,280 "," 00:03:18,123"
But we're on the vergeof our greatest breakthrough.,"00:03:18,280 "," 00:03:20,601"
Then let's show themwhat we've accomplished.,"00:03:20,800 "," 00:03:22,404"
Send out the twins.,"00:03:22,520 "," 00:03:24,204"
It's too soon.,"00:03:25,480 "," 00:03:27,289"
It's what they signed up for.,"00:03:27,400 "," 00:03:29,528"
My men can hold them.,"00:03:30,080 "," 00:03:32,003"
"Sir, the city is taking fire.","00:03:39,640 "," 00:03:41,529"
"Well, we know Strucker's not gonnaworry about civilian casualties.","00:03:44,400 "," 00:03:47,882"
Send in the Iron Legion.,"00:03:48,040 "," 00:03:49,690"
This quadrant is unsafe.Please back away.,"00:03:54,920 "," 00:03:57,491"
We are here to help.,"00:03:58,400 "," 00:04:00,004"
This quadrant is unsafe.Please back away.,"00:04:01,120 "," 00:04:03,487"
Please back away.,"00:04:05,240 "," 00:04:06,321"
 We wish to avoid collateral damage. Costel!,"00:04:06,440 "," 00:04:08,568"
We will inform youwhen this current conflict is resolved.,"00:04:08,680 "," 00:04:11,160"
" We are here to help. Avengers, go home!","00:04:11,280 "," 00:04:13,328"
We are here to help.,"00:04:15,760 "," 00:04:16,921"
We will not yield!,"00:04:18,000 "," 00:04:19,843"
The Americans senttheir circus freaks to test us.,"00:04:20,480 "," 00:04:23,768"
We will send them back in bags.,"00:04:24,360 "," 00:04:26,806"
 No surrender! No surrender!,"00:04:29,160 "," 00:04:32,050"
I am going to surrender.,"00:04:33,200 "," 00:04:35,089"
You delete everything.,"00:04:35,760 "," 00:04:37,171"
"If we give the Avengers the weapons,","00:04:37,320 "," 00:04:39,084"
they may not looktoo far into what we've been...,"00:04:39,200 "," 00:04:40,690"
 The twins. They are not ready to take on...,"00:04:40,840 "," 00:04:42,922"
"No, no, I mean...","00:04:43,040 "," 00:04:45,247"
Twins.,"00:04:45,360 "," 00:04:46,850"
You didn't see that coming?,"00:05:13,160 "," 00:05:15,083"
Clint!,"00:05:21,360 "," 00:05:23,681"
We have an Enhanced in the field.,"00:05:25,760 "," 00:05:27,080"
Clint's hit!,"00:05:27,160 "," 00:05:28,161"
Somebody want todeal with that bunker?,"00:05:32,560 "," 00:05:34,080"
Thank you.,"00:05:38,080 "," 00:05:39,286"
"Stark, we really need to get inside.","00:05:46,400 "," 00:05:48,880"
I'm closing in.,"00:05:49,280 "," 00:05:50,281"
"Jarvis, am I closing in?","00:05:53,400 "," 00:05:55,528"
Do you see a power sourcefor that shield?,"00:05:56,520 "," 00:05:58,443"
There's a particle wavebelow the north tower.,"00:05:58,600 "," 00:06:01,126"
"Great,I want to poke it with something.","00:06:01,240 "," 00:06:03,242"
"The drawbridge is down, people.","00:06:11,200 "," 00:06:13,123"
 The Enhanced? He's a blur.,"00:06:17,280 "," 00:06:19,282"
"All the new players we've faced,I've never seen this.","00:06:19,960 "," 00:06:22,080"
"In fact, I still haven't.","00:06:22,480 "," 00:06:23,766"
"Clint's hit pretty bad,guys. We're gonna need evac.","00:06:23,880 "," 00:06:26,167"
"I can get Barton to the jet.The sooner we're gone, the better.","00:06:26,320 "," 00:06:29,245"
 You and Stark secure the sceptre. Copy that.,"00:06:29,400 "," 00:06:31,721"
Looks like they're lining up.,"00:06:32,960 "," 00:06:34,769"
"Well, they're excited.","00:06:35,080 "," 00:06:36,570"
Find the sceptre.,"00:06:40,440 "," 00:06:41,805"
"And for gosh sake, watch your language!","00:06:42,800 "," 00:06:45,007"
That's not going away any time soon.,"00:06:46,480 "," 00:06:48,403"
"Guys, stop. We gotta talk this through.","00:06:54,320 "," 00:06:56,527"
" It was a good talk. No, it wasn't.","00:06:59,520 "," 00:07:02,166"
Sentry mode.,"00:07:08,360 "," 00:07:10,283"
"Okay, Jarvis, you know. I want it all.Make sure you copy Hill at HQ.","00:07:12,640 "," 00:07:16,603"
We're locked down out here.,"00:07:21,000 "," 00:07:22,286"
Then get to Banner. Time for a lullaby.,"00:07:22,840 "," 00:07:24,968"
I know you're hiding more than files.,"00:07:28,680 "," 00:07:30,762"
"Hey, J, give me an IR scan of the room,real quick.","00:07:31,960 "," 00:07:34,566"
The wall to your left.,"00:07:34,720 "," 00:07:36,245"
I'm reading steel reinforcement,"00:07:36,360 "," 00:07:38,010"
and an air current.,"00:07:39,240 "," 00:07:40,890"
Please be a secret door.,"00:07:41,200 "," 00:07:42,201"
Please be a secret door.Please be a secret door.,"00:07:42,360 "," 00:07:44,280"
Yay.,"00:07:44,920 "," 00:07:45,921"
"Hey, big guy.","00:08:02,200 "," 00:08:04,123"
Sun's getting real low.,"00:08:06,480 "," 00:08:08,130"
Baron Strucker.,"00:09:12,200 "," 00:09:13,804"
