Line,Strat Time,End Time
This is the Asgardian,"00:00:26,361 "," 00:00:28,196"
refugee vessel Statesman.,"00:00:28,279 "," 00:00:30,740"
We are under assault.,"00:00:33,493 "," 00:00:34,786"
"I repeat,we are under assault.","00:00:34,869 "," 00:00:36,955"
"The engines are dead,life support failing.","00:00:37,122 "," 00:00:40,667"
Requesting aidfrom any vessel within range.,"00:00:40,834 "," 00:00:43,795"
We are 22 jump pointsout of Asgard.,"00:00:43,962 "," 00:00:46,965"
Our crew is made upof Asgardian families.,"00:00:47,966 "," 00:00:50,593"
We havevery few soldiers here.,"00:00:50,677 "," 00:00:52,178"
This is not a warcraft.,"00:00:52,345 "," 00:00:54,222"
"I repeat,this is not a warcraft.","00:00:54,305 "," 00:00:56,307"
Hear me and rejoice.,"00:01:09,779 "," 00:01:12,782"
You have had the privilege,"00:01:16,578 "," 00:01:18,830"
of being savedby the Great Titan.,"00:01:18,913 "," 00:01:21,583"
You may thinkthis is suffering.,"00:01:24,544 "," 00:01:26,755"
No.,"00:01:27,964 "," 00:01:28,965"
It is salvation.,"00:01:30,008 "," 00:01:32,343"
Universal scalestip toward balance,"00:01:36,222 "," 00:01:39,934"
because of your sacrifice.,"00:01:40,018 "," 00:01:41,770"
Smile.,"00:01:43,396 "," 00:01:44,814"
"For even in death,","00:01:46,065 "," 00:01:48,151"
you have becomeChildren of Thanos.,"00:01:48,234 "," 00:01:50,695"
I know what it's like to lose.,"00:02:06,127 "," 00:02:08,171"
To feel so desperatelythat you're right...,"00:02:10,340 "," 00:02:13,301"
"yet to fail, nonetheless.","00:02:14,052 "," 00:02:16,805"
It's frightening.,"00:02:24,896 "," 00:02:26,523"
Turns the legs to jelly.,"00:02:27,857 "," 00:02:29,818"
"But I ask you, to what end?","00:02:31,945 "," 00:02:34,072"
"Dread it, run from it...","00:02:35,490 "," 00:02:38,076"
destiny arrives all the same.,"00:02:39,118 "," 00:02:41,663"
"And now, it's here.","00:02:42,872 "," 00:02:44,707"
Or should I say...,"00:02:45,291 "," 00:02:47,126"
I am.,"00:02:48,461 "," 00:02:49,963"
You talk too much.,"00:02:55,426 "," 00:02:56,761"
The Tesseract.,"00:02:58,054 "," 00:02:59,514"
Or your brother's head.,"00:02:59,889 "," 00:03:02,016"
I assume you havea preference.,"00:03:06,688 "," 00:03:09,065"
"Oh, I do.","00:03:10,316 "," 00:03:11,609"
Kill away.,"00:03:14,028 "," 00:03:15,071"
"All right, stop!","00:03:30,336 "," 00:03:31,462"
