Speaker,Line
Search Team Leader,Are you the guys from Washington.
SHIELD Tech,You get many other visitors out here.
SHIELD Lieutenant,How long have you been on site.
Search Team Leader,Since this morning. A Russian oil team called it in about 18 hours ago.
SHIELD Lieutenant,How come nobody spotted it before.
Search Team Leader,It’s really not that surprising. This landscape’s changing all the time. You got any ideas what this thing is exactly.
SHIELD Lieutenant,I don’t know. It’s probably a weather balloon.
Search Team Leader,I don’t think so. You know we don’t have the equipment for a job like this.
SHIELD Tech,How long before we can start craning it out.
Search Team Leader,I don’t think you quite understand. You guys are gonna need one hell of a crane.
SHIELD Lieutenant,"Base, we’re in. What is this. Careful."
SHIELD Tech,Lieutenant. What is it.
SHIELD Lieutenant,"My God. Base, give me a line to the Colonel."
Voice from Earpiece,"It’s 3 am, sir."
SHIELD Lieutenant,I don’t care what time it is. This one’s waited long enough.
Jan,They have come for it.
Tower Keeper,They have before.
Jan,Not like this.
Tower Keeper,Let them come. They will never find it.
Hydra Lieutenant,"Open it. Quickly, before he…"
Johann Schmidt,It has taken me a long time to find this place. You should be commended. Help him up.
Johann Schmidt,I think that you are man of great vision. And in this way we are much alike.
Tower Keeper,I am nothing like you.
Johann Schmidt,"No, of course. But what others see as superstition, you and I know to be a science."
Tower Keeper,What you seek is just a legend.
Johann Schmidt,"Then why make such an effort to conceal it. The Tesseract was the jewel of Odin’s treasure room. It’s not something one buries. But I think it is close, yes."
Tower Keeper,I cannot help you.
Johann Schmidt,No. But maybe you can help your village. You must have some friends out there. Some… some little grandchildren perhaps. I have no need for them to die.
Johann Schmidt,"Yggdrasil. Tree of the world. Guardian of wisdom and fate, also. And the Führer digs for trinkets in the desert. You have never seen this, have you."
Tower Keeper,It’s not for the eyes of ordinary men.
Johann Schmidt,Exactly. Gove the order to open fire.
Hydra Lieutenant,Jawohl.
Tower Keeper,Fool. You cannot control the power you hold. You will burn.
Johann Schmidt,I already have.
4F Doctor,"O’Connel, Michael. Kaminsky, Henry."
Steve Rogers,"Boy, a lot of guys getting killed over there."
4F Doctor,"Rogers, Steven."
Enlistment Guy,"It kind of makes you think twice about enlisting, huh."
Steve Rogers,Nope.
4F Doctor,Rogers. What did your father die of.
Steve Rogers,Mustard gas. He was in the hundred and seventh infantry. I was hoping I could be assigned…
4F Doctor,Your mother.
Steve Rogers,"She was a nurse in a TB ward. Got hit, couldn’t shake it."
4F Doctor,"Sorry, son."
Steve Rogers,"Look, just give me a chance."
4F Doctor,You’d be ineligible on your asthma alone.
Steve Rogers,Is there anything you can do.
4F Doctor,I’m doing it. I’m saving your life.
Commercial Announcer,"War continues to ravage Europe. But help is on the way. Every able-bodied young man is lining up to serve his country. Even little Timmy is doing his part collecting scrap metal. Nice work, Timmy."
Loud Jerk,Who cares. Play the movie already.
Steve Rogers,"Hey, you wanna show some respect."
Commercial Announcer,"Meanwhile, overseas, our brave boys are showing the Axis powers that the price freedom is never too high."
Loud Jerk,"Let’s got. Get on with it. Hey, just start the cartoon."
Steve Roger,"Hey buddy, you wanna shut up."
Commercial Announcer,"Together with Allied forces, we’ll face any threat, no matter the size."
Loud Jerk,"You just don’t know when to give up, do you."
Steve Rogers,I can do this all day.
