Speaker,Line
Steve Rogers,On your left.
Steve Rogers,On your left.
Sam Wilson,"Uh-huh, on my left. Got it."
Sam Wilson,Dont say it. Dont you say it.
Steve Rogers,On your left.
Sam Wilson,Come on.
Steve Rogers,Need a medic.
Sam Wilson,"I need a new set of lungs. Dude, you just ran like 13 miles in 30 minutes."
Steve Rogers,I guess I got a late start.
Sam Wilson,"Oh, really. You should be ashamed of yourself. You should take another lap."
Sam Wilson,Did you just take it. I assumed you just took it.
Steve Rogers,What unit you with.
Sam Wilson,"58, Pararescue. But now Im working down at the VA."
Sam Wilson,Sam Wilson.
Steve Rogers,Steve Rogers.
Sam Wilson,Yeah I kind of put that together. Must have freaked you out coming home after the whole defrosting thing.
Steve Rogers,"It takes some getting used to. Its good to meet you, Sam."
Sam Wilson,"Its your bed, right."
Steve Rogers,Whats that.
Sam Wilson,"Your bed, its too soft. When I was over there Id sleep on the ground and use rock for pillows, like a caveman. Now Im home, lying in my bed, and its like."
Steve Rogers,Lying on a marshmallow. Feel like Im gonna sink right to the floor.
Steve Rogers,How long.
Sam Wilson,Two tours.
Sam Wilson,"You must miss the good old days, huh."
Steve Rogers,"Well, things arent so bad. Foods a lot better, we used to boil everything. No polio is good. Internet, so helpful. Ive been reading that a lot trying to catch up."
Sam Wilson,"Marvin Gaye, 1972, Trouble Man soundtrack. Everything youve missed jammed into one album."
Steve Rogers,Ill put it on the list.
Steve Rogers,"Alright, Sam, duty calls. Thanks for the run. If thats what you wanna call running."
Sam Wilson,"Oh, thats how it is."
Steve Rogers,"Oh, thats how it is."
Sam Wilson,"Okay. Any time you wanna stop by the VA, make me look awesome in front of the girl at the front desk, just let me know."
Steve Rogers,Ill keep it in mind.
Sam Wilson,Okay.
Natasha Romanoff,"Hey, fellas. Either one of you know where the Smithsonian is. Im here to pick up a fossil."
Steve Rogers,Thats hilarious.
Sam Wilson,How you doing.
Natasha Romanoff,Hey.
Steve Rogers,Cant run everywhere.
Sam Wilson,"No, you cant."
Brock Rumlow,"The target is a mobile satellite launch platform: The Lemurian Star. They were sending up their last payload when pirates took them, 93 minutes ago."
Steve Rogers,Any demands.
Brock Rumlow,A billion and a half.
Steve Rogers,Why so steep.
Brock Rumlow,Because it SHIELDs.
Steve Rogers,"So its not off-course, its trespassing."
Natasha Romanoff,Im sure they have a good reason.
Steve Rogers,"You know, Im getting a little tired of being Furys janitor."
Natasha Romanoff,"Relax, its not that complicated."
Steve Rogers,How many pirates.
