Line,Strat Time,End Time
On your left.,"00:00:48,773 "," 00:00:50,138"
On your left.,"00:01:00,853 "," 00:01:02,148"
Uhhuh. On my left. Got it.,"00:01:02,173 "," 00:01:04,221"
Don't say it. Don't you say it.,"00:01:09,973 "," 00:01:11,388"
 On your left. Come on!,"00:01:11,413 "," 00:01:12,983"
Oh!,"00:01:13,973 "," 00:01:15,868"
Need a medic?,"00:01:21,813 "," 00:01:23,383"
I need a new set of lungs.,"00:01:26,093 "," 00:01:27,868"
"Dude, you just ran,like, 13 miles in 30 minutes.","00:01:27,893 "," 00:01:31,215"
I guess I got a late start.,"00:01:31,333 "," 00:01:32,413"
Really? You shouldbe ashamed of yourself.,"00:01:32,573 "," 00:01:35,019"
You should take another lap.,"00:01:35,293 "," 00:01:37,739"
Did you just take it?I assume you just took it.,"00:01:37,933 "," 00:01:39,981"
What unit you with?,"00:01:40,453 "," 00:01:41,739"
58th Pararescue.,"00:01:41,933 "," 00:01:43,298"
But now I'm working down at the VA.,"00:01:43,493 "," 00:01:45,018"
 Sam Wilson. Steve Rogers.,"00:01:45,733 "," 00:01:47,337"
I kind of put that together.,"00:01:47,493 "," 00:01:49,655"
"Must have freaked you out, cominghome after the whole defrosting thing.","00:01:50,773 "," 00:01:53,299"
It takes some getting used to.,"00:01:53,413 "," 00:01:55,859"
"It's good to meet you, Sam.","00:01:56,013 "," 00:01:57,424"
"It's your bed, right?","00:01:57,853 "," 00:01:58,854"
What's that?,"00:02:00,093 "," 00:02:01,015"
"Your bed, it's too soft.","00:02:01,173 "," 00:02:02,618"
"When I was over there,I'd sleep on the ground,","00:02:02,853 "," 00:02:04,423"
"use rock for pillows, like a caveman.","00:02:04,653 "," 00:02:06,542"
"Now I'm home, lying in my bed,and it's like...","00:02:06,853 "," 00:02:09,857"
Lying on a marshmallow.,"00:02:09,973 "," 00:02:11,213"
Feel like I'm gonna sinkright to the floor.,"00:02:11,333 "," 00:02:13,053"
How long?,"00:02:14,373 "," 00:02:15,668"
Two tours.,"00:02:15,693 "," 00:02:16,979"
