Speaker,Line
America,Did it kill it.
Defender Strange,No. Well kill it with this.
America,The Book of Vishanti.
Defender Strange,We cant let it get your power. Get to the book.
America,How do we get across.
Defender Strange,Jump.
Defender Strange,Its too strong. I cant hold it.
Defender Strange,Im so sorry. This is the only way.
America,What are you doing.
Defender Strange,We cant let that thing take your power. You cant control it. But I can.
America,But were friends.
Defender Strange,"I know. But in the grand calculus of the Multiverse, your sacrifice is worth more than your life."
Doctor Nicodemus West,Doctor Strange.
Doctor Stephen Strange,Doctor West.
Doctor Nicodemus West,Havent seen you in a while.
Doctor Stephen Strange,I was a little preoccupied being dust in the air for five years.
Doctor Nicodemus West,So were a lot of us. While I was gone. thank you for asking. I lost both my cats. And my brother.
Doctor Stephen Strange,Im very sorry.
Doctor Nicodemus West,"Thank you. I, uh. I guess what keeps me up at night is wondering. Did it have to happen that way. Was there any other path."
Doctor Stephen Strange,No. But I made the only play we had.
Doctor Nicodomus West,"Of course, you do. The best surgeon and the best superhero. But you still didnt get the girl."
Doctor Christine Palmer,"Glass of red, please."
Doctor Stephen Strange,"Allow me, Miss."
Doctor Stephen Strange,A little too on the nose.
Doctor Christine Palmer,"What, for you, at my wedding. Nah. It was perfect."
Doctor Stephen Strange,Congratulations.
Doctor Christine Palmer,"Thank you. Theres Charlie. I have to introduce you because hes kind of. Its embarrassing, but hes a big fan."
Doctor Stephen Strange,"So. Hey, uh, Christine. umm. I should have. I wish it had been different. I never stopped caring about us, but I had to make sacrifices. To protect you. Im sorry."
Doctor Christine Palmer,It was never gonna work out between us.
Doctor Stephen Strange,Why not.
Doctor Christine Palmer,"Because Stephen. You have to be the one holding the knife. And I always respected you for it, but I couldnt love you for it."
Doctor Stephen Strange,How long have you had that one in the barrel.
Doctor Christine Palmer,Long time.
Doctor Stephen Strange,"Yeah. I bet. Truly, Im just glad that youre happy."
Doctor Christine Palmer,"I am. I really, really am."
Doctor Stephen Strange,Good.
Doctor Christine Palmer,Are you.
Doctor Stephen Strange,Im happy.
Doctor Christine Palmer,Good. You deserve it.
Doctor Stephen Strange,Thank you.
America,Look out.
Doctor Stephen Strange,Do I know you.
Wong,Help. Youre welcome. Do you know its ancient custom to bow in the presence of the Sorcerer Supreme.
Doctor Stephen Strange,Yeah. Im aware of the customs. Hold it. Hold it.
Charlie,Woah. Thats incredible.
Doctor Christine Palmer,Yeah.
Doctor Stephen Strange,"Oh, god."
Wong,Whos this.
Doctor Stephen Strange,"Yeah, I was gonna ask the same question. Hey, kid. What did that creature want with you."
Wong,Where are your parents.
Doctor Stephen Strange,Take her back to the Sanct. She took my slingy.
Wong,She took your slingy.
America,That wasnt a dream. It was another universe.
America,How much experience do you guys have with the Multiverse.
Doctor Stephen Strange,"We have experience with the Multiverse. Most recently, there was an incident with Spider-Man."
America,With what Man.
Doctor Stephen Strange,Spider-Man. He has the powers of a spider.
Wong,Hence the name.
America,Gross. Does he look like a spider.
Doctor Stephen Strange,No. More like a man.
Wong,"Climbs walls, shoot webs."
Doctor Stephen Strange,Yeah. Bingo.
