Line,Strat Time,End Time
 Did that kill it? No.,"00:01:03,480 "," 00:01:04,564"
That's how we kill it.,"00:01:04,647 "," 00:01:05,857"
The Book of Vishanti!,"00:01:10,653 "," 00:01:12,155"
We can't let it take your power.,"00:01:15,867 "," 00:01:17,178"
Get to the book.,"00:01:17,202 "," 00:01:18,203"
 How do we get across? Jump.,"00:01:18,286 "," 00:01:20,371"
Hold on!,"00:01:23,333 "," 00:01:24,709"
"No, no, no!","00:01:26,920 "," 00:01:29,047"
It's too strong.,"00:02:08,962 "," 00:02:10,547"
I can't hold it.,"00:02:10,630 "," 00:02:12,257"
I'm so sorry.,"00:02:38,449 "," 00:02:39,450"
This is the only way.,"00:02:40,076 "," 00:02:41,286"
What're you doing?,"00:02:44,497 "," 00:02:45,498"
I can't let that thing take your power.,"00:02:45,582 "," 00:02:47,542"
You can't control it.,"00:02:48,209 "," 00:02:49,586"
But I can.,"00:02:50,712 "," 00:02:52,130"
But we're friends.,"00:02:52,839 "," 00:02:53,965"
You're killing me.,"00:02:55,008 "," 00:02:56,509"
I know.,"00:02:56,593 "," 00:02:57,677"
"But in the grand calculusof the Multiverse,","00:02:58,761 "," 00:03:01,723"
your sacrificeis worth more than your...,"00:03:01,890 "," 00:03:03,850"
Excuse me. May I?,"00:04:28,393 "," 00:04:30,186"
Thanks.,"00:04:30,353 "," 00:04:31,354"
Doctor Strange.,"00:04:51,749 "," 00:04:53,001"
Doctor West.,"00:04:53,084 "," 00:04:54,252"
Haven't seen you in a while.,"00:04:55,503 "," 00:04:57,213"
"Yeah, I was a little preoccupiedbeing dust there for five years, so...","00:04:57,380 "," 00:05:01,426"
So were a lot of us.,"00:05:01,592 "," 00:05:03,094"
"While I was gone,","00:05:05,930 "," 00:05:07,515"
"thank you for asking,","00:05:08,308 "," 00:05:09,851"
I lost both my cats...,"00:05:10,893 "," 00:05:12,687"
and my brother.,"00:05:15,940 "," 00:05:17,233"
I'm very sorry.,"00:05:20,486 "," 00:05:21,946"
Thank you.,"00:05:23,239 "," 00:05:24,240"
"I, uh...","00:05:26,868 "," 00:05:27,869"
"I guess what keeps me upat night is wondering,","00:05:29,912 "," 00:05:32,915"
did it have to happen that way?,"00:05:33,708 "," 00:05:35,668"
Was there any other path?,"00:05:37,837 "," 00:05:39,756"
No.,"00:05:43,384 "," 00:05:44,635"
"No, I made the only play we had.","00:05:46,929 "," 00:05:48,681"
"Well, of course you did.","00:05:48,848 "," 00:05:50,808"
The best surgeon and the best superhero.,"00:05:51,517 "," 00:05:54,562"
But you still didn't get the girl.,"00:05:58,358 "," 00:06:00,651"
"Glass of red, please.","00:06:49,909 "," 00:06:51,160"
" Oh, allow me, miss. Mm.","00:06:51,327 "," 00:06:53,246"
 Ah. Little too on the nose?,"00:06:54,622 "," 00:06:56,332"
"What? For you, at my wedding?","00:06:56,499 "," 00:06:58,167"
Nah. I think it was perfect.,"00:06:58,334 "," 00:07:00,420"
Congratulations.,"00:07:00,711 "," 00:07:01,838"
Thank you.,"00:07:02,004 "," 00:07:03,172"
Mm. There's Charlie.,"00:07:03,256 "," 00:07:05,133"
I have to introduce youbecause he's kind of...,"00:07:05,299 "," 00:07:07,510"
"It's embarrassing,but he's a big fan, so...","00:07:07,677 "," 00:07:10,763"
"Hey, uh, Christine. Um...","00:07:10,972 "," 00:07:12,390"
I should've...,"00:07:14,016 "," 00:07:15,017"
I wish I'd have been different.,"00:07:17,895 "," 00:07:19,135"
I never stopped caring about us.,"00:07:19,856 "," 00:07:22,150"
But I had to make sacrifices,"00:07:22,316 "," 00:07:24,402"
to protect you.,"00:07:25,194 "," 00:07:26,696"
I'm sorry.,"00:07:27,405 "," 00:07:28,406"
It was never gonna work outbetween us.,"00:07:32,869 "," 00:07:34,912"
Why not?,"00:07:37,457 "," 00:07:38,583"
"Because, Stephen,","00:07:38,666 "," 00:07:40,585"
you have to be the oneholding the knife.,"00:07:40,751 "," 00:07:43,045"
"And I always respected you for it,","00:07:43,796 "," 00:07:45,298"
but I couldn't love you for it.,"00:07:45,381 "," 00:07:47,175"
How long you had that onein the barrel?,"00:07:52,221 "," 00:07:53,806"
Long time.,"00:07:56,267 "," 00:07:57,310"
Yeah. I bet.,"00:07:57,393 "," 00:07:59,312"
"Look, um...","00:07:59,479 "," 00:08:00,480"
"Truly, I'm just glad that you're happy.","00:08:02,148 "," 00:08:04,692"
Mm.,"00:08:04,901 "," 00:08:05,902"
I am.,"00:08:07,028 "," 00:08:08,029"
"I really, really am.","00:08:09,155 "," 00:08:10,281"
Good.,"00:08:10,823 "," 00:08:11,824"
Are you?,"00:08:12,909 "," 00:08:13,910"
I'm happy.,"00:08:14,494 "," 00:08:15,870"
Good.,"00:08:16,204 "," 00:08:17,455"
You deserve it.,"00:08:17,914 "," 00:08:19,248"
"Oh, man.Look out! What is that?","00:08:28,925 "," 00:08:30,885"
Dude!,"00:08:32,595 "," 00:08:33,888"
Thank you.,"00:08:41,562 "," 00:08:42,602"
Wow!,"00:09:22,603 "," 00:09:24,480"
"No, no.","00:09:29,318 "," 00:09:31,320"
Look out!,"00:09:44,750 "," 00:09:46,252"
Do I know you?,"00:09:57,305 "," 00:09:58,306"
Help!,"00:11:40,950 "," 00:11:42,451"
You're welcome.,"00:11:49,166 "," 00:11:50,167"
You know it's ancient custom,"00:11:50,876 "," 00:11:52,044"
to bow in the presenceof the Sorcerer Supreme?,"00:11:52,128 "," 00:11:54,213"
"Yeah, I'm aware of the customs.","00:11:54,296 "," 00:11:56,382"
"Hold it, hold it! Whoa!","00:12:02,555 "," 00:12:04,807"
Whoa.,"00:12:28,622 "," 00:12:29,749"
That's incredible.,"00:12:30,207 "," 00:12:31,375"
Yeah.,"00:12:31,751 "," 00:12:32,793"
"Oh, God!","00:12:37,923 "," 00:12:39,133"
Who's this?,"00:13:34,814 "," 00:13:35,815"
"Yeah, I was gonna ask the same question.","00:13:35,898 "," 00:13:37,209"
"Hey, kid.","00:13:37,233 "," 00:13:38,567"
What did that creature want with you?,"00:13:38,651 "," 00:13:40,152"
Where're your parents?,"00:13:40,236 "," 00:13:41,320"
We'll take her back to the Sanc...,"00:13:41,403 "," 00:13:42,763"
She took my Slingie.,"00:13:46,033 "," 00:13:47,117"
She took your Slingie.,"00:13:47,201 "," 00:13:48,869"
"Yeah, it was crazy, man.","00:13:53,374 "," 00:13:55,626"
"Oh, my God!","00:13:55,709 "," 00:13:56,877"
"I'm not gonna kill you, kid.","00:13:58,504 "," 00:14:00,256"
"I just bust my asstrying to save your life, remember?","00:14:00,339 "," 00:14:02,925"
"Giant monsters I can clearly handle,","00:14:05,511 "," 00:14:07,346"
"but what bothers me is that last night,you were in my dream.","00:14:07,429 "," 00:14:10,683"
That wasn't a dream.,"00:14:12,142 "," 00:14:14,395"
It was another universe.,"00:14:14,895 "," 00:14:16,438"
How much experience do you guys havewith the Multiverse?,"00:14:19,441 "," 00:14:21,735"
We have experience of the Multiverse.,"00:14:22,403 "," 00:14:23,883"
"Most recently, there wasan incident with SpiderMan.","00:14:23,946 "," 00:14:26,031"
What man?,"00:14:26,115 "," 00:14:27,408"
SpiderMan.He has the powers of a spider.,"00:14:27,491 "," 00:14:29,702"
 Hence the name. Gross.,"00:14:29,785 "," 00:14:31,829"
" Does he look like a spider? No. No, more like a man.","00:14:31,912 "," 00:14:34,112"
"Climbs walls, shoots webs.","00:14:34,164 "," 00:14:35,291"
 Yeah. Bingo. Out of his butt?,"00:14:35,374 "," 00:14:36,893"
No.,"00:14:36,917 "," 00:14:38,168"
"Well, maybe, I don't know.","00:14:38,335 "," 00:14:39,670"
"Honestly, I hope not.","00:14:39,753 "," 00:14:40,880"
Super weird.,"00:14:40,963 "," 00:14:42,047"
You're gonna get a stomach ache.,"00:14:43,799 "," 00:14:45,134"
I'm from another universe.,"00:14:45,217 "," 00:14:46,844"
How do you know my stomachworks the same as yours?,"00:14:46,927 "," 00:14:48,738"
I don't.,"00:14:48,762 "," 00:14:49,972"
"I don't even knowif you're from another universe,","00:14:50,264 "," 00:14:52,474"
"which is why I'm still sitting here,waiting for you","00:14:52,558 "," 00:14:54,578"
to enlighten us.,"00:14:54,602 "," 00:14:55,829"
"Gotta say,","00:14:55,853 "," 00:14:56,854"
of the two Doctor StrangesI've met so far...,"00:14:57,438 "," 00:14:59,198"
...you're not my favorite.,"00:14:59,690 "," 00:15:00,730"
Which means?,"00:15:00,774 "," 00:15:02,502"
Does he not know Spanish?,"00:15:03,611 "," 00:15:04,987"
I'm not surehe even enjoys speaking English.,"00:15:05,404 "," 00:15:07,865"
"Look,I left a very nice wedding","00:15:09,074 "," 00:15:10,635"
to save a smartass kidfrom getting eaten by an octopus.,"00:15:10,659 "," 00:15:13,495"
 Whose wedding? Now tell me...,"00:15:13,579 "," 00:15:14,639"
 Christine's. You went?,"00:15:14,663 "," 00:15:15,706"
"Holy shit, you married Christine?","00:15:15,789 "," 00:15:16,933"
" Do you mind? Yes, I do.","00:15:16,957 "," 00:15:17,997"
"No, I didn't. Yes.","00:15:18,042 "," 00:15:19,209"
You need to explain to mewhat's going on.,"00:15:19,293 "," 00:15:21,462"
Why was that octopus trying to eat you?,"00:15:21,545 "," 00:15:23,714"
That thing was trying to kidnap me.,"00:15:23,797 "," 00:15:25,674"
It's like a henchmanwho works for a demon.,"00:15:26,675 "," 00:15:29,094"
All we knew is that they wantedto take my power for themselves.,"00:15:29,178 "," 00:15:32,056"
What power?,"00:15:32,139 "," 00:15:33,307"
I can travel the Multiverse.,"00:15:34,892 "," 00:15:36,352"
What?,"00:15:36,936 "," 00:15:37,937"
You can physically movefrom one universe to another?,"00:15:38,020 "," 00:15:40,314"
 Mmhmm. How?,"00:15:40,397 "," 00:15:41,565"
That's the problem.I don't know how.,"00:15:41,649 "," 00:15:43,609"
Can't control it.,"00:15:43,776 "," 00:15:45,027"
"Only happens whenI'm really, really afraid.","00:15:45,194 "," 00:15:47,196"
Okay. And did Other Me knowhow to defeat this demon?,"00:15:47,905 "," 00:15:51,492"
"Well, you guys knew","00:15:51,659 "," 00:15:52,826"
of this magical book of pure good,"00:15:52,910 "," 00:15:54,662"
that gives a sorcerer whatever they needto defeat their enemy.,"00:15:54,828 "," 00:15:57,873"
The Book of Vishanti?,"00:15:58,374 "," 00:16:00,084"
It's not real.,"00:16:00,542 "," 00:16:01,669"
It's a fairy tale.It doesn't exist.,"00:16:01,835 "," 00:16:04,129"
"Actually, it does.","00:16:04,213 "," 00:16:05,297"
I found out in the secret book you getwhen you become Sorcerer Supreme.,"00:16:06,340 "," 00:16:08,985"
Unbelievable.,"00:16:09,009 "," 00:16:10,219"
You're not the Sorcerer Supreme?,"00:16:10,302 "," 00:16:11,637"
"No, I'm not the Sorcerer Supreme.","00:16:11,720 "," 00:16:13,472"
Other You was Sorcerer Supremeof his universe.,"00:16:13,555 "," 00:16:15,283"
Right. Yeah.,"00:16:15,307 "," 00:16:16,409"
"Although it does exist,","00:16:16,433 "," 00:16:18,060"
the Book of Vishantiis said to be unreachable.,"00:16:18,227 "," 00:16:20,479"
It is. Except...,"00:16:21,563 "," 00:16:22,898"
we reached it.,"00:16:24,066 "," 00:16:25,067"
Then the demon caught up with us.,"00:16:26,944 "," 00:16:28,821"
I thought you'd protect me...,"00:16:29,029 "," 00:16:31,657"
but you didn't.,"00:16:34,576 "," 00:16:35,577"
That was the fight in my dream.,"00:16:35,661 "," 00:16:37,162"
That wasn't a dream.,"00:16:38,414 "," 00:16:40,082"
Prove it.,"00:16:41,125 "," 00:16:42,126"
It wasn't a dream.,"00:16:50,551 "," 00:16:51,927"
That means...,"00:16:59,184 "," 00:17:00,436"
dreams are windows into the livesof our Multiversal selves.,"00:17:02,229 "," 00:17:05,024"
That was his theory.,"00:17:07,443 "," 00:17:08,902"
"So, that recurring nightmarewhere I'm running naked from a clown...","00:17:09,069 "," 00:17:11,947"
"Somewhere out there, it's real.","00:17:12,698 "," 00:17:14,575"
Somewhere out there I had a ponytail.,"00:17:15,159 "," 00:17:17,494"
There could bemore creatures coming for her.,"00:17:19,038 "," 00:17:21,123"
The power is dangerous enoughin the hands of a kid.,"00:17:21,206 "," 00:17:23,500"
Imagine if a real threat acquired it?,"00:17:23,584 "," 00:17:25,064"
"It occurs to me, young one,we don't know your name.","00:17:27,588 "," 00:17:30,049"
America Chavez.,"00:17:33,635 "," 00:17:34,762"
"Miss Chavez, will you comewith us to KamarTaj?","00:17:34,845 "," 00:17:38,057"
You'll be safe there.,"00:17:38,223 "," 00:17:39,433"
How do I know you won'tbetray me like he did?,"00:17:40,225 "," 00:17:42,311"
I guess you're justgonna have to trust me.,"00:17:43,437 "," 00:17:45,439"
What do we do with him?,"00:17:49,151 "," 00:17:50,736"
That's gotta violate an ordinance.,"00:17:59,495 "," 00:18:00,954"
"Ah, I've buried worse.","00:18:01,038 "," 00:18:02,581"
"The creature that killed him, did...","00:18:05,501 "," 00:18:07,044"
did it have the same markingsas the octopus?,"00:18:07,795 "," 00:18:09,797"
Runes.,"00:18:09,963 "," 00:18:11,006"
This isn't sorcery.,"00:18:12,049 "," 00:18:13,300"
It's witchcraft.,"00:18:14,635 "," 00:18:15,636"
Do we know anyonewho's faced such a thing?,"00:18:16,887 "," 00:18:18,639"
I think I might.,"00:18:21,850 "," 00:18:22,976"
 Chocolate! Hey! What did I say?,"00:18:25,521 "," 00:18:28,065"
But we couldn't wait.,"00:18:28,148 "," 00:18:29,274"
But what did I say?,"00:18:29,358 "," 00:18:30,609"
Oh!,"00:18:31,985 "," 00:18:33,320"
Go wash your hands.,"00:18:34,238 "," 00:18:36,115"
"Mom, come on.We're too old for that.","00:18:40,869 "," 00:18:42,913"
"Oh, okay.","00:18:43,080 "," 00:18:45,249"
"You can tuck me in, Mom.","00:18:45,415 "," 00:18:46,500"
I will.,"00:18:47,292 "," 00:18:48,335"
"You know, a family is forever.","00:18:51,672 "," 00:18:55,384"
"We could never truly leave each other,even if we tried.","00:18:56,260 "," 00:18:59,346"
"Mom, I changed my mind.","00:18:59,513 "," 00:19:01,431"
You can come tuck me in if you want.,"00:19:01,598 "," 00:19:03,684"
Okay.,"00:19:03,851 "," 00:19:05,018"
Love you.,"00:19:08,981 "," 00:19:10,232"
"Apples, right?","00:19:40,888 "," 00:19:42,598"
 Eventually. Hmm.,"00:19:43,932 "," 00:19:45,309"
 Smells... Sweet.,"00:19:51,899 "," 00:19:53,400"
I was gonna say real.,"00:19:53,942 "," 00:19:55,527"
"Oh, it's all very real, thanks.","00:19:56,028 "," 00:19:58,197"
I've put the magic behind me.,"00:19:59,531 "," 00:20:01,241"
So I can see.,"00:20:01,325 "," 00:20:02,534"
"Well, I knew sooner or lateryou'd show up,","00:20:03,243 "," 00:20:05,787"
wanting to discusswhat happened at Westview.,"00:20:05,871 "," 00:20:07,956"
"I made mistakes,and people were hurt...","00:20:09,875 "," 00:20:12,836"
"But you put things right in the end,and that was never in doubt.","00:20:12,920 "," 00:20:16,673"
I'm not here to talk about Westview.,"00:20:16,840 "," 00:20:19,718"
Then what are you here for?,"00:20:19,927 "," 00:20:20,987"
We need your help.,"00:20:21,011 "," 00:20:22,262"
With what?,"00:20:25,140 "," 00:20:26,308"
What do you know about the Multiverse?,"00:20:26,475 "," 00:20:28,477"
The Multiverse.,"00:20:28,644 "," 00:20:30,270"
Vis had his theories.,"00:20:30,437 "," 00:20:31,521"
"He believed it was real,and dangerous.","00:20:31,605 "," 00:20:35,609"
"Well, he was right about both.","00:20:35,776 "," 00:20:37,277"
"We found a girlwho can somehow travel across it,","00:20:37,861 "," 00:20:40,656"
but she's being pursued.,"00:20:40,739 "," 00:20:42,282"
 Pursued by who? Some kind of demon.,"00:20:42,366 "," 00:20:43,992"
 One that covets her power for itself. Ah.,"00:20:44,076 "," 00:20:46,078"
"We've taken her to KamarTaj,and we've got our defenses,","00:20:46,787 "," 00:20:50,582"
but we could use an Avenger.,"00:20:50,666 "," 00:20:52,459"
There are other Avengers.,"00:20:52,626 "," 00:20:54,336"
"Yeah, but given the choicebetween the archer with the mohawk","00:20:54,419 "," 00:20:57,089"
"and several bugthemed crime fighters,","00:20:57,172 "," 00:20:59,341"
or one of the most powerfulmagicwielders on the planet...,"00:20:59,424 "," 00:21:04,346"
...it's an easy call.,"00:21:04,513 "," 00:21:05,847"
Come to KamarTaj.,"00:21:06,598 "," 00:21:08,100"
It'll get you back on the lunch box.,"00:21:09,685 "," 00:21:11,478"
What if you brought America here?,"00:21:14,481 "," 00:21:16,608"
Here?,"00:21:17,693 "," 00:21:18,694"
"Yeah. I know what it's liketo be on your own,","00:21:19,278 "," 00:21:22,114"
"hunted for abilities you never wanted,","00:21:22,197 "," 00:21:24,783"
and I can protect her.,"00:21:25,742 "," 00:21:27,369"
"You never told me her name, did you?","00:21:33,792 "," 00:21:34,894"
No.,"00:21:34,918 "," 00:21:35,961"
" Mm. No, I didn't.","00:21:37,296 "," 00:21:38,755"
"You know, the Hex was the easy part.","00:21:43,593 "," 00:21:45,554"
"The lying, not so much.","00:21:46,346 "," 00:21:49,266"
The Darkhold.,"00:22:16,335 "," 00:22:17,419"
You're familiar with the Darkhold?,"00:22:17,586 "," 00:22:18,962"
"I know it's the Book of the Damned,","00:22:19,129 "," 00:22:20,964"
and that it corrupts everythingand everyone that it touches.,"00:22:21,131 "," 00:22:24,551"
I wonder what it's done to you.,"00:22:24,718 "," 00:22:26,345"
The Darkhold only showed me the truth.,"00:22:26,511 "," 00:22:28,889"
Everything I lost can be mine again.,"00:22:29,056 "," 00:22:32,684"
What do you want with America?,"00:22:32,851 "," 00:22:34,394"
What do you want with the Multiverse?,"00:22:34,478 "," 00:22:36,438"
I'm going to leave this reality,"00:22:36,605 "," 00:22:38,899"
and go to one where I can bewith my children.,"00:22:39,691 "," 00:22:42,152"
"Wanda, your children aren't real.","00:22:42,319 "," 00:22:44,613"
You created them using magic.,"00:22:44,780 "," 00:22:46,823"
That's what every mother does.,"00:22:46,990 "," 00:22:48,617"
If you knew,"00:22:51,411 "," 00:22:53,163"
there was a universe,"00:22:53,747 "," 00:22:56,166"
"where you were happy,","00:22:56,333 "," 00:22:58,043"
wouldn't you want to go there?,"00:22:58,210 "," 00:23:00,170"
I am happy.,"00:23:00,629 "," 00:23:02,172"
I know better than mostwhat selfdeception looks like.,"00:23:02,339 "," 00:23:05,092"
"What you're doing is a flagrant violationof every natural law,","00:23:06,468 "," 00:23:09,429"
"and if you take that child's power,","00:23:09,513 "," 00:23:11,306"
she won't survive.,"00:23:11,390 "," 00:23:12,391"
"I don't relish hurting anyone, Stephen.","00:23:12,557 "," 00:23:14,684"
But she's not a child.,"00:23:15,519 "," 00:23:17,020"
She's a supernatural being.,"00:23:17,187 "," 00:23:19,356"
Such raw power could wreak havoc on this,"00:23:19,523 "," 00:23:22,109"
and other worlds.,"00:23:22,192 "," 00:23:23,402"
Her sacrifice,"00:23:23,568 "," 00:23:24,986"
would be for the greater good.,"00:23:26,071 "," 00:23:27,280"
"Well, you can kiss the lunch box goodbye,","00:23:27,364 "," 00:23:28,966"
'cause that's the kind of justificationour enemies use.,"00:23:28,990 "," 00:23:31,743"
Is it the one you used,"00:23:31,827 "," 00:23:33,328"
when you gave Thanos the Time Stone?,"00:23:34,037 "," 00:23:36,415"
"That was a war,and I did what I had to do.","00:23:39,918 "," 00:23:43,630"
You break the rules and become a hero.,"00:23:43,797 "," 00:23:46,091"
"I do it, and I become the enemy.","00:23:46,258 "," 00:23:48,176"
That doesn't seem fair.,"00:23:49,511 "," 00:23:51,096"
What happens now?,"00:23:52,722 "," 00:23:54,141"
Return to KamarTaj,"00:23:54,349 "," 00:23:55,934"
and prepare to hand overAmerica Chavez by sundown.,"00:23:56,101 "," 00:23:59,229"
Peacefully.,"00:24:00,480 "," 00:24:01,565"
After that...,"00:24:02,774 "," 00:24:03,984"
You'll never see me again.,"00:24:06,027 "," 00:24:08,447"
And if we don't?,"00:24:12,242 "," 00:24:13,743"
Then it won't be Wandawho comes for her.,"00:24:18,248 "," 00:24:20,542"
It will be the Scarlet Witch.,"00:24:21,751 "," 00:24:23,753"
The Scarlet Witch.,"00:24:34,264 "," 00:24:35,891"
Wanda's gone.,"00:24:38,935 "," 00:24:40,228"
"She's got the Darkhold,and the Darkhold has her.","00:24:40,896 "," 00:24:43,565"
The Scarlet Witch isa being of unfathomable magic.,"00:24:47,235 "," 00:24:50,322"
"She can rewrite reality as she chooses,","00:24:51,364 "," 00:24:53,700"
and is prophesized to either rule,"00:24:55,202 "," 00:24:57,662"
or annihilate the cosmos.,"00:24:57,829 "," 00:24:59,831"
She took over a whole town using her mind.,"00:24:59,998 "," 00:25:03,168"
"If she gets America's power,","00:25:04,544 "," 00:25:07,130"
she could enslave the entire Multiverse.,"00:25:07,297 "," 00:25:09,633"
"So, the person you went to ask for help,","00:25:11,551 "," 00:25:14,346"
"and told exactly where I am,","00:25:14,513 "," 00:25:16,723"
is the person that's trying to kill me?,"00:25:16,890 "," 00:25:18,450"
Yeah.,"00:25:19,809 "," 00:25:20,852"
Suspend teaching at onceand arm the students.,"00:25:21,561 "," 00:25:25,148"
KamarTaj must now become a fortress.,"00:25:25,315 "," 00:25:27,859"
Wow.,"00:26:03,061 "," 00:26:04,187"
It's the masters of the Hong Kongand London Sanctums.,"00:26:04,354 "," 00:26:06,815"
It's an honor to court deathalongside you once again.,"00:26:07,983 "," 00:26:11,111"
The honor is ours.,"00:26:11,444 "," 00:26:12,445"
"Whatever theSorcerer Supreme asks of us,","00:26:12,529 "," 00:26:15,031"
it shall be done.,"00:26:15,115 "," 00:26:16,533"
"Extra duty men,follow me.","00:26:17,075 "," 00:26:18,702"
It's ancient custom.,"00:26:19,119 "," 00:26:20,912"
Choose your words wisely.,"00:27:23,600 "," 00:27:25,602"
The fate of the Multiversemay depend on it.,"00:27:25,769 "," 00:27:28,063"
Got it.,"00:27:28,229 "," 00:27:29,272"
"No pressure, then.","00:27:30,523 "," 00:27:31,983"
All this for a child you met yesterday.,"00:27:45,163 "," 00:27:48,291"
"Wanda, you are justifiably angry.","00:27:48,458 "," 00:27:51,211"
You had to make terrible sacrifices.,"00:27:51,419 "," 00:27:53,380"
"I blew a hole through the headof the man I loved,","00:27:53,463 "," 00:27:56,174"
and it meant nothing.,"00:27:57,509 "," 00:28:00,303"
"Do not speak to me of sacrifice,Stephen Strange.","00:28:00,470 "," 00:28:04,432"
"If you give me what I want,","00:28:12,440 "," 00:28:15,485"
I'll send you to a world whereyou can be with Christine.,"00:28:15,652 "," 00:28:18,321"
The full might of KamarTajstands against you.,"00:28:20,657 "," 00:28:24,244"
"Defensive positions, now!","00:28:25,161 "," 00:28:28,164"
Do not dare to enter these sacred grounds.,"00:28:34,754 "," 00:28:37,090"
You have no ideajust how reasonable I have been.,"00:28:37,173 "," 00:28:40,677"
Yeah.,"00:28:40,760 "," 00:28:41,761"
"Book of the Damned,calling yourself a witch,","00:28:41,845 "," 00:28:43,572"
"conjuring creatures to abduct a kid,","00:28:43,596 "," 00:28:45,056"
I don't exactly call thatbeing reasonable.,"00:28:45,140 "," 00:28:47,475"
Sending those creaturesafter her instead of myself,"00:28:47,559 "," 00:28:50,103"
was mercy.,"00:28:50,186 "," 00:28:51,688"
"And in spite of your hypocrisies,and insults,","00:28:52,522 "," 00:28:56,568"
I have begged youto safely get out of my way.,"00:28:56,651 "," 00:29:00,739"
"You have exhausted my patience,","00:29:02,073 "," 00:29:04,200"
"but I do hope you understandthat even now,","00:29:05,827 "," 00:29:09,789"
"what's about to happen,","00:29:09,956 "," 00:29:11,458"
this is me,"00:29:12,834 "," 00:29:14,502"
being reasonable.,"00:29:14,669 "," 00:29:17,338"
Hold!,"00:29:27,265 "," 00:29:28,641"
