Speaker,Line
Grandpa,"Peter, your mama wants to speak with you. Come on, Pete. Take these fool things off."
Meredith Quill,"Why have you been fighting with the other boys again, baby. Peter."
Young Quill,They killed a little frog that ain’t done nothin’. Smushed it with a stick.
Meredith Quill,You’re so like your daddy. You even look like him. And he was an angel. Composed of pure light
Grandpa Mer,"You got a present there for Peter, don’t you."
Meredith Quill,Of course.
Grandpa,"There. I’ve got you covered, Pete."
Meredith Quill,"You open it up when I’m gone, okay. Your grandpa is gonna take such good care of you. At least until your daddy comes back to get you. Take my hand. Peter."
Grandpa,"Pete, come on."
Meredith Quill,Take my hand.
Young Quill,Mom. No. No. No. No. Mom. No.
Grandpa,Come with me.
Young Quill,No. No.
Grandpa,You’ve got to stay here. Please.
Young Quill,No…
Grandpa,Okay.
Young Quill,No. Mom.
Korath,Drop it.
Peter Quill,Uh… hey.
Korath,"Drop it, now."
Peter Quill,"Hey, cool, man. No problem. No problem at all."
Korath,How do you know about this.
Peter Quill,"I don’t even know what that is. I’m just a junker, man. I was just.just checking stuff out."
Korath,You don’t look like a junker. You’re wearing Ravager garb.
Peter Quill,"This is just an outfit, man. Ninja Turtle, you better stop poking me."
Korath,What is your name.
Peter Quill,"My name is Peter Quill, okay. Dude, chill out."
Korath,Move.
Peter Quill,Why.
Korath,Ronan may have questions for you.
Peter Quill,"Hey, you know what. There’s another name you might know me by. Star-Lord."
Korath,Who.
Peter Quill,"Star-Lord, man. Legendary outlaw. Guys."
Korath,Move.
Peter Quill,"Ah, forget this."
Bereet,Peter. What happened.
Peter Quill,"Hey, uh…uh. I…"
Bereet,Bereet.
Peter Quill,"Bereet. Look, I’m gonna be totally honest with you. I forgot you were here."
News Reporter,Scattered riots broke out across the Kree Empire today protesting the recent peace treaty signed by the Kree Emperor and Xandar’s Nova Prime.
Bereet,"Peter, you have call."
Peter Quill,"No, wait, don’t."
Yondu Udonta,Quill.
Peter Quill,"Hey, Yondu."
Yondu Udonta,"I’m here on Morag. Ain’t no Orb, ain’t no you."
Peter Quill,"Well, I was in the neighborhood. I thought I’d save you the hassle."
Yondu Udonta,"Well, where are you at now, boy."
Peter Quill,"I feel really bad about this, but I’m not gonna tell you that."
Yondu Udonta,I slaved putting this deal together…
Peter Quill,Slaved. Making a few calls is slaved.
Yondu Udonta,And now you’re gonna rip me off.
Peter Quill,"I mean, really."
Yondu Udonta,We do not do that to each other. We’re Ravagers. We got a code.
Peter Quill,"Yeah, and that code is steal from everybody."
Yondu Udonta,When I picked you up on Terra…
Peter Quill,Picked me up.
Yondu Udonta,…these boys of mine wanted to eat you.
Peter Quill,Yeah.
Yondu Udonta,"They ain’t never tasted any Terran before. I stopped ‘em. You’re alive because of me. I will find you, I will… Put a bounty on him. Forty K. But I want him back alive."
Kraglin,"Yeah, Cap."
Horuz,Alive.
Yondu Udonta,That’s what I said.
Horuz,"I told you when you picked that kid up, you should have delivered him like we was hired to do. He was cargo. You have always been soft on him."
Yondu Udonta,"You’re the only one I’m being soft on. Now, don’t you worry about Mr Quill. As soon as we get him back here, I’m gonna kill him myself. What we do need to worry about, is who else out there wants that orb."
Ronan,"They call me terrorist, radical, zealot, because I obey the ancient laws of my people, the Kree, and punish those who do not. Because I do not forgive your people for taking the life of my father, and his father, and his father before him. A thousand years of war between us will not be forgotten."
Xandarian Prisoner,You can’t do this. Our government signed a peace treaty.
Ronan,My government knows no shame. You Xandarians and your culture are a disease.
Xandarian Prisoner,You will never rule Xandar.
Ronan,No. I will cure it.
Nebula,"Ronan, Korath has returned."
Korath,"Master, he is a thief, an outlaw who calls himself Star-Lord. But we have discovered he has an agreement to retrieve the orb for an intermediary known as The Broker."
Ronan,"I promised Thanos I would retrieve the orb for him. Only then will he destroy Xandar for me. Nebula, go to Xandar and get me the orb."
Nebula,It will be my honor.
Gamora,"It will be your doom. If this happens again, you’ll be facing our father without his prize."
Nebula,I’m a daughter of Thanos. Just like you.
Gamora,But I know Xandar.
Nebula,Ronan has already decreed that I…
