Line,Strat Time,End Time
Peter.,"00:00:36,920 "," 00:00:37,967"
Your momma wants to speak with you.,"00:00:39,480 "," 00:00:42,563"
"Come on, Pete.Take these fool things off.","00:00:44,960 "," 00:00:48,806"
"Why have you been fightingwith the other boys again, baby?","00:01:22,640 "," 00:01:25,883"
Peter?,"00:01:28,480 "," 00:01:29,686"
They killed a little frog that ain't done nothing.,"00:01:30,160 "," 00:01:33,369"
Smushed it with a stick.,"00:01:34,000 "," 00:01:36,526"
You're so like your daddy.,"00:01:37,800 "," 00:01:40,201"
You even look like him.,"00:01:41,000 "," 00:01:42,843"
And he was an angel.,"00:01:44,200 "," 00:01:46,202"
 Composed out of pure light. Mer?,"00:01:47,680 "," 00:01:50,331"
"You got a present there for Peter, don't you?","00:01:50,480 "," 00:01:52,403"
Of course.,"00:01:54,320 "," 00:01:55,924"
There.,"00:01:59,040 "," 00:02:00,201"
"I've got you covered, Pete.","00:02:01,880 "," 00:02:03,723"
"You open it up when I'm gone, okay?","00:02:08,080 "," 00:02:09,969"
Your grandpa...,"00:02:12,360 "," 00:02:14,044"
...is gonna take such good care of you.,"00:02:14,960 "," 00:02:17,611"
At least until your daddy comes back to get you.,"00:02:17,760 "," 00:02:21,560"
Take my hand.,"00:02:25,400 "," 00:02:26,401"
Peter.,"00:02:30,360 "," 00:02:31,646"
"Pete, come on.","00:02:33,200 "," 00:02:34,247"
Take my hand.,"00:02:34,600 "," 00:02:36,364"
Mom?,"00:02:42,400 "," 00:02:43,447"
No! No! No! No!,"00:02:43,920 "," 00:02:46,810"
Mom! No!,"00:02:46,960 "," 00:02:48,246"
 Come with me. No!,"00:02:48,400 "," 00:02:49,925"
No!,"00:02:50,040 "," 00:02:51,804"
You've got to stay here. Please.,"00:02:52,400 "," 00:02:53,731"
No...,"00:02:54,240 "," 00:02:55,241"
Okay?,"00:02:56,600 "," 00:02:58,090"
No.,"00:03:17,440 "," 00:03:18,680"
Mom!,"00:03:35,200 "," 00:03:36,964"
Drop it!,"00:08:27,280 "," 00:08:28,520"
"Uh, hey.","00:08:28,840 "," 00:08:30,080"
" Drop it, now! Hey, cool, man. No problem.","00:08:31,600 "," 00:08:33,841"
No problem at all.,"00:08:33,920 "," 00:08:35,922"
How do you know about this?,"00:08:36,760 "," 00:08:38,285"
I don't even know what that is.,"00:08:38,360 "," 00:08:39,930"
"I'm just a junker, man.I was just checking stuff out.","00:08:40,120 "," 00:08:42,521"
You don't look like a junker.You're wearing Ravager garb.,"00:08:42,800 "," 00:08:45,121"
"This is just an outfit, man.","00:08:45,280 "," 00:08:46,520"
"Ninja Turtle, you better stop poking me.","00:08:46,600 "," 00:08:48,045"
What is your name?,"00:08:48,200 "," 00:08:49,201"
"My name is Peter Quill, okay?Dude, chill out.","00:08:49,280 "," 00:08:51,282"
 Move! Why?,"00:08:51,640 "," 00:08:53,051"
Ronan may have questions for you.,"00:08:53,160 "," 00:08:55,083"
"Hey, you know what?","00:08:55,560 "," 00:08:56,641"
There's another name you might know me by.,"00:08:56,760 "," 00:08:58,888"
StarLord.,"00:09:00,560 "," 00:09:02,528"
Who?,"00:09:02,840 "," 00:09:03,841"
"StarLord, man. Legendary outlaw.","00:09:03,960 "," 00:09:06,201"
 Guys? Move!,"00:09:07,560 "," 00:09:09,722"
"Ah, forget this.","00:09:10,640 "," 00:09:12,802"
Peter?,"00:11:03,640 "," 00:11:05,130"
What happened?,"00:11:09,080 "," 00:11:10,081"
"Hey, uh...","00:11:10,840 "," 00:11:12,524"
Uh... I...,"00:11:12,600 "," 00:11:14,682"
 Bereet. Bereet!,"00:11:15,600 "," 00:11:17,443"
"Look, I'm gonna be totally honestwith you. I forgot you're here.","00:11:17,600 "," 00:11:20,046"
Scattered riots broke out,"00:11:43,960 "," 00:11:45,530"
across the Kree Empire today,"00:11:45,640 "," 00:11:47,165"
protesting the recent peace treatysigned by the Kree Emperor,"00:11:47,240 "," 00:11:50,767"
and Xandar's Nova Prime.,"00:11:50,840 "," 00:11:53,286"
"Peter, you have call.","00:11:55,760 "," 00:11:57,205"
" No, wait, don't! Quill?","00:11:58,040 "," 00:11:59,724"
"Hey, Yondu.","00:12:02,200 "," 00:12:03,486"
I'm here on Morag.,"00:12:03,640 "," 00:12:05,642"
"Ain't no Orb, ain't no you.","00:12:05,800 "," 00:12:07,006"
"Well, I was in the neighborhood.I thought I'd save you the hassle.","00:12:07,120 "," 00:12:09,248"
"Well, where are you at now, boy?","00:12:09,360 "," 00:12:10,646"
"I feel really bad about this,but I'm not gonna tell you that.","00:12:10,720 "," 00:12:13,291"
 I slaved putting this deal together. Slaved?,"00:12:13,400 "," 00:12:15,880"
"Making a few calls is slaved?I mean, really?","00:12:16,000 "," 00:12:17,081"
And now you're gonna rip me off!,"00:12:17,160 "," 00:12:18,264"
We do not do that to each other.We're Ravagers. We got a code.,"00:12:18,280 "," 00:12:21,762"
"Yeah, and that code issteal from everybody.","00:12:21,880 "," 00:12:24,611"
When I picked you up on Terra...,"00:12:24,720 "," 00:12:26,051"
Picked me up.,"00:12:26,160 "," 00:12:27,161"
...these boys of minewanted to eat you.,"00:12:27,280 "," 00:12:28,247"
Yeah?,"00:12:28,320 "," 00:12:29,321"
They ain't never tasted any Terran before.,"00:12:29,366 "," 00:12:30,815"
I stopped them.You're alive because of me!,"00:12:30,840 "," 00:12:33,081"
"I will find you, I will...","00:12:33,160 "," 00:12:34,446"
Put a bounty on him!,"00:12:35,160 "," 00:12:36,764"
40K.,"00:12:37,400 "," 00:12:38,561"
" But I want him back alive. Yeah, Cap.","00:12:38,640 "," 00:12:40,290"
 Alive? That's what I said.,"00:12:40,360 "," 00:12:41,805"
"I told you when you picked that kid up,","00:12:41,880 "," 00:12:43,325"
you should have delivered him like we was hired to do!,"00:12:43,400 "," 00:12:45,368"
He was cargo!,"00:12:45,480 "," 00:12:47,005"
You have always been soft on him.,"00:12:47,120 "," 00:12:48,770"
You're the only one I'm being soft on!,"00:12:48,840 "," 00:12:51,411"
"Now, don't you worry about Mr. Quill.","00:12:51,920 "," 00:12:54,366"
"As soon as we get him back here,","00:12:54,800 "," 00:12:56,802"
I'm gonna kill him myself.,"00:12:57,400 "," 00:12:59,767"
"What we do need to worry about,","00:13:00,200 "," 00:13:01,531"
is who else out there wants that Orb!,"00:13:02,920 "," 00:13:05,366"
"They call me terrorist,","00:13:25,720 "," 00:13:28,007"
"radical, zealot,","00:13:28,640 "," 00:13:31,291"
"because I obey the ancient laws of my people, the Kree,","00:13:32,120 "," 00:13:35,283"
and punish those who do not.,"00:13:36,200 "," 00:13:39,522"
Because I do not forgive your people,"00:13:39,680 "," 00:13:42,809"
"for taking the life of my father,","00:13:42,920 "," 00:13:45,446"
"and his father, and his father before him.","00:13:46,040 "," 00:13:49,487"
A thousand years of war between us will not be forgotten!,"00:13:50,720 "," 00:13:55,328"
You can't do this!Our government signed a peace treaty.,"00:13:55,800 "," 00:13:58,644"
My government knows no shame.,"00:13:59,800 "," 00:14:02,087"
You Xandarians and your culture are a disease.,"00:14:03,160 "," 00:14:06,004"
You,"00:14:07,440 "," 00:14:08,441"
will never rule Xandar.,"00:14:08,560 "," 00:14:10,847"
No.,"00:14:10,920 "," 00:14:11,967"
I will cure it!,"00:14:12,840 "," 00:14:15,047"
"Ronan,","00:14:28,200 "," 00:14:29,281"
Korath has returned.,"00:14:29,440 "," 00:14:31,283"
"Master, he is a thief,","00:14:31,400 "," 00:14:34,244"
an outlaw who calls himself StarLord.,"00:14:34,720 "," 00:14:36,768"
But we have discovered he has an agreement,"00:14:36,880 "," 00:14:39,360"
to retrieve the Orb for an intermediary known,"00:14:39,520 "," 00:14:42,285"
as The Broker.,"00:14:42,440 "," 00:14:43,930"
I promised Thanos I would retrieve the Orb for him.,"00:14:44,040 "," 00:14:47,522"
Only then will he destroy Xandar for me.,"00:14:47,600 "," 00:14:50,206"
"Nebula, go to Xandar and get me the Orb.","00:14:51,080 "," 00:14:54,482"
It will be my honor.,"00:14:55,280 "," 00:14:56,406"
It will be your doom.,"00:14:56,520 "," 00:14:57,567"
"If this happens again, you'll be facing our father","00:14:58,880 "," 00:15:01,326"
without his prize.,"00:15:01,480 "," 00:15:03,209"
I'm a daughter of Thanos.,"00:15:03,280 "," 00:15:04,770"
Just like you.,"00:15:05,320 "," 00:15:06,446"
But I know Xandar.,"00:15:06,560 "," 00:15:07,891"
Ronan has already decreed that I...,"00:15:08,000 "," 00:15:09,650"
Do not speak for me.,"00:15:09,800 "," 00:15:10,801"
You will not fail.,"00:15:13,280 "," 00:15:15,282"
Have I ever?,"00:15:19,080 "," 00:15:20,650"
Xandarians.,"00:15:36,120 "," 00:15:37,531"
What a bunch of losers.,"00:15:37,640 "," 00:15:39,847"
"All of them in a big hurry to get from something stupid,","00:15:39,920 "," 00:15:44,369"
to nothing at all. Pathetic.,"00:15:44,600 "," 00:15:46,523"
Look at this guy!,"00:15:46,960 "," 00:15:47,961"
"Can you believe they call us criminals,","00:15:48,040 "," 00:15:49,610"
when he's assaulting us with that haircut?,"00:15:49,680 "," 00:15:51,603"
What is this thing?Look how it thinks it's so cool.,"00:15:52,120 "," 00:15:54,930"
"It's not cool to get help!Walk by yourself, you little gargoyle.","00:15:55,000 "," 00:15:58,561"
Look at Mr. Smiles over here.,"00:15:58,720 "," 00:16:00,643"
"Where's your wife, old man?What a classA prevert.","00:16:01,280 "," 00:16:05,001"
"Right, Groot?","00:16:05,400 "," 00:16:07,209"
Groot?,"00:16:07,720 "," 00:16:08,801"
"Don't drink fountain water, you idiot.","00:16:08,880 "," 00:16:10,723"
 That's disgusting! Mmm.,"00:16:10,880 "," 00:16:13,087"
"Yes, you did. I just saw you doing it.","00:16:13,520 "," 00:16:15,488"
Why are you lying?,"00:16:15,560 "," 00:16:16,686"
Whoop.,"00:16:16,800 "," 00:16:18,131"
Looks like we got one.,"00:16:20,240 "," 00:16:22,242"
"Okay, humie, how bad does someone wanna find you?","00:16:22,400 "," 00:16:26,405"
"40,000 units?Groot, we're gonna be rich.","00:16:27,880 "," 00:16:32,044"
 Mr. Quill. Broker.,"00:16:46,040 "," 00:16:47,371"
The Orb.,"00:16:48,720 "," 00:16:49,721"
 As commissioned. Where's Yondu?,"00:16:51,600 "," 00:16:53,762"
Wanted to be here. Sends his love.,"00:16:53,880 "," 00:16:55,609"
"And told me to tell you,","00:16:55,720 "," 00:16:56,721"
that you got the best eyebrows in the business.,"00:16:56,840 "," 00:16:59,081"
What is it?,"00:17:01,280 "," 00:17:02,327"
"It's my policy never to discussmy clients, or their needs.","00:17:03,080 "," 00:17:06,448"
"Yeah, well, I almost died getting it for you.","00:17:06,520 "," 00:17:08,522"
"An occupational hazard, I'm sure, in your line of work.","00:17:08,640 "," 00:17:11,610"
"Some machineheaded freak,working for a dude named Ronan.","00:17:12,280 "," 00:17:14,521"
"Ronan? I'm sorry, Mr. Quill.","00:17:15,960 "," 00:17:17,883"
I truly am.,"00:17:18,000 "," 00:17:19,047"
But I want no part of this transaction,"00:17:19,120 "," 00:17:20,804"
" if Ronan is involved. Whoa, whoa, whoa!","00:17:20,880 "," 00:17:22,803"
Who's Ronan?,"00:17:23,800 "," 00:17:24,961"
"A Kree fanatic, outraged by the peace treaty,","00:17:25,120 "," 00:17:28,408"
"who will not rest until Xandarian culture, my culture,","00:17:28,480 "," 00:17:32,769"
" is wiped from existence! Whoa, whoa!","00:17:32,880 "," 00:17:34,041"
 Come on. He's someone,"00:17:34,120 "," 00:17:35,531"
whose bad side I'd rather not be on.,"00:17:35,680 "," 00:17:37,011"
What? What about my bad side?,"00:17:37,160 "," 00:17:38,810"
"Farewell, Mr. Quill.","00:17:38,920 "," 00:17:40,251"
"Hey, we had a deal, bro!","00:17:42,480 "," 00:17:43,925"
What happened?,"00:17:50,000 "," 00:17:51,081"
"Ah, this guy just backed out of a deal on me.","00:17:53,320 "," 00:17:56,244"
"If there's one thing I hate, it's a man without integrity.","00:17:56,400 "," 00:17:58,482"
Peter Quill. People call me StarLord.,"00:17:58,680 "," 00:18:00,330"
You have the bearing of a man of honor.,"00:18:01,840 "," 00:18:04,081"
"Well, you know, I wouldn't say that.","00:18:04,200 "," 00:18:06,328"
"People say it about me, all the time,","00:18:07,160 "," 00:18:10,050"
but it's not something I would ever say about myself.,"00:18:10,160 "," 00:18:11,988"
Ooh!,"00:18:13,520 "," 00:18:14,681"
This wasn't the plan.,"00:18:30,440 "," 00:18:31,601"
Ah!,"00:18:32,320 "," 00:18:33,560"
Put him in the bag.Put him in the bag!,"00:18:34,160 "," 00:18:36,322"
"No! Not her, him!","00:18:36,440 "," 00:18:38,727"
"Learn genders, man.","00:18:38,880 "," 00:18:40,291"
Ow!,"00:18:40,680 "," 00:18:42,011"
Biting? That's not fair!,"00:18:42,120 "," 00:18:43,849"
Take it easy!,"00:18:47,240 "," 00:18:48,969"
Ow!,"00:18:55,600 "," 00:18:56,726"
Fool. You should have learned.,"00:19:17,680 "," 00:19:19,364"
I don't learn. One of my issues.,"00:19:19,480 "," 00:19:21,289"
What the...,"00:19:30,000 "," 00:19:31,650"
"Quit smiling, you idiot.You're supposed to be a professional.","00:19:34,920 "," 00:19:38,003"
You gotta be kidding me.,"00:19:39,280 "," 00:19:40,805"
Ooh. Hey!,"00:19:40,880 "," 00:19:42,609"
I live for the simple things.,"00:20:00,280 "," 00:20:02,726"
Like how much this is gonna hurt.,"00:20:02,880 "," 00:20:05,087"
"Yeah. Writhe, little man.","00:20:10,000 "," 00:20:12,002"
"It'll grow back, you d'ast idiot.","00:20:14,160 "," 00:20:15,605"
Quit whining.,"00:20:15,720 "," 00:20:17,210"
"Subject 89P13, drop your weapon.","00:20:25,600 "," 00:20:28,809"
"Aw, crap.","00:20:29,480 "," 00:20:31,005"
"By the authority of the Nova Corps,","00:20:31,120 "," 00:20:32,565"
 you are under arrest... All right. Come on up.,"00:20:32,640 "," 00:20:34,449"
...for endangerment to lifeand the destruction of property.,"00:20:34,520 "," 00:20:36,727"
Hey! If it isn't StarPrince.,"00:20:36,800 "," 00:20:39,929"
" StarLord. Oh, sorry. Lord.","00:20:40,080 "," 00:20:43,289"
I picked this guy up a while back for petty theft.,"00:20:43,440 "," 00:20:45,522"
He's got a code name.,"00:20:45,640 "," 00:20:47,085"
Yeah. Stay out of the way.,"00:20:47,160 "," 00:20:48,207"
"Come on, man. It's a...It's an outlaw name.","00:20:48,280 "," 00:20:50,169"
"Just relax, pal.","00:20:50,240 "," 00:20:51,969"
It's cool to have a code name.It's not that weird.,"00:20:52,040 "," 00:20:54,247"
Fascists.,"00:20:55,720 "," 00:20:57,245"
Ronan is destroying,"00:21:10,680 "," 00:21:11,841"
Xandarian outposts throughout the galaxy.,"00:21:11,920 "," 00:21:14,127"
I should think that would call for someslight response on the part of the Kree.,"00:21:14,280 "," 00:21:18,205"
"We signed your peace treaty, Nova Prime.","00:21:18,685 "," 00:21:20,065"
What more do you want?,"00:21:20,080 "," 00:21:21,286"
At least a statement from the Kree Empire,"00:21:21,400 "," 00:21:23,164"
saying that they condemn his actions.,"00:21:23,240 "," 00:21:25,481"
He is slaughtering children.,"00:21:25,680 "," 00:21:28,081"
