Speaker,Line
Ying Li,"The legend of the ten rings has been told for thousands of years. Every generation, the story grows. But at its centre there is always one man."
Ying Li,"Some say he found the rings in a crater or stole them from a tomb. They gave him the strength of a god, and the gift of eternal life."
Ying Li,He could have used them for good.
Ying Li,But all he wanted… was power.
Ying Li,"He called his army The Ten Rings. Over the centuries, they spread into every corner of the world."
Ying Li,They moved in the shadows…
Ying Li,Toppled governments… And changed the course of history.
Ying Li,He chased money and power for a thousand years. But he still wanted more.
Xu Wenwu,Have you heard the legend of Ta Lo. A hidden village with mythical creatures and ancient magic. Where people practise a martial arts style from the gods. I want to find it.
Subordinate,"Of course. I’ll send a scout to explore the area, and come back with more information."
Xu Wenwu,I want to go now.
Subordinate,The forest… is moving.
Ying Li,He had nothing left on Earth to conquer. That’s when he came for my home.
Xu Wenwu,Where’s the entrance to Ta Lo.
Ying Li,You’re not welcome in our village.
Xu Wenwu,You don’t know who you’re talking to.
Ying Li,"I don’t care who you are. Turn around now, and I won’t have to hurt you."
Ying Li,Is that all.
Ying Li,That was the first time I met your father.
Ying Li,He was the last person I thought I’d fall for. But love had other plans.
Ying Li,"Shang-Chi, there’s much more to know about the legend of the rings, but you’ll learn about that when you’re older."
Shang-Chi,"If Dad’s rings were so powerful, how did you beat him."
Ying Li,"Where I’m from, we are empowered by the magic of the Great Protector. When you have the heart of our dragon, you can do some amazing things."
Shang-Chi,Can you still do those things.
Ying Li,"I left those powers in Ta Lo with our dragon, but what I got in return is so much better."
Ying Li,"I want you to have this. Whenever you feel lost, this will help you find your way home. Can you remember that."
Shang-Chi,Okay.
Shang-Chi,"Hello, sir, welcome to the Fairmont…"
Katy,I’m driving.
Shang-Chi,"No, you’re not… Katy. Hey, hey, get back here. Give me the key. Please open the door."
Katy,"Oh, my God."
Shang-Chi,Get out.
Katy,You get in.
Shang-Chi,"Look, if something happens to this thing, we’re gonna be jobless and in debt for the rest of our lives."
Katy,"Oh, come on. Nothing’s gonna happen to this car. I’m the Asian Jeff Gordon."
Shang-Chi,I don’t know who that is.
Katy,Most career wins in all of NASCAR history.
Shang-Chi,Please get out of the car.
Katy,"Shaun, we’ve been friends for 10 years, okay. You know I’m not an idiot."
Katy,"Please, get in. I’ll go slow."
Shang-Chi,"Katy, watch the…"
Shang-Chi,"I knew Katy was trouble the first day we met in high school. I was getting picked on a lot, for all the reasons we all get picked on a lot. Plus, I had just moved to the US, so I was struggling with my English, and I was on my way to lunch one day when this guy who was like twice my size yells at me from down the hall, “What’s up, Gangnam Style.”. So I yelled back, “I’m not Korean, idiot.”"
Katy,"And I turn the corner, and I see this guy drop his backpack, he’s getting all up in his face…"
Shang-Chi,"And right before he was about to throw the first punch, Katy comes out of nowhere, steps right between us and starts screaming the lyrics to Hotel California."
John,What.
Katy,It’s the art of confusion. Works great on stupid people.
Shang-Chi,And that’s how we met.
Katy,Then I pulled him into the parking lot…
Shang-Chi,At which point she revealed that she had also swiped the keys to the guy’s Mustang.
Katy,"Yeah, we went on a little joyride around the block. And your wife was in the car, too."
Shang-Chi,That’s true. You were.
John,What.
Soo,I was just in the back seat.
Katy,That’s a part of the car.
Shang-Chi,That’s still a part of the car.
John,How have you never told me this story.
Katy,"You know, before she was a lawyer, your girl was pretty wild."
John,Oh. What happened.
Soo,I grew up.
Katy,What’s that supposed to mean.
Shang-Chi,"Yeah, what’s that supposed to mean."
Soo,That maybe there’s a point where you’re supposed to stop going on joyrides and start thinking about living up to your potential.
Katy,"Please tell me you’re kidding, Soo."
Soo,"Look, we’re now living in a world where at any moment half the population can just disappear. Life’s too short and too fragile. Katy, you’re a valet driver with an honours degree from Berkeley, and Shaun can speak, like, four languages. You’ve always been the most talented people I know. I just don’t get why you’re scared to actually use it for something serious."
Shang-Chi,Wow.
Katy,"You sound like my mom. You also… dress like her a little bit, too. Where’s this from, Talbots."
Katy,We’re not running from adulthood. How is it running to have jobs that you actually like.
Shang-Chi,"Yeah, that doesn’t even make any sense."
Katy,Did you think valet parking is easy.
Shang-Chi,"It’s like the most challenging job ever. You need people skills, driving skills…"
Katy,Soo can’t even parallel park.
Shang-Chi,"Well, it’s almost midnight. We got the early shift. Should probably be responsible, go to sleep."
Katy,"Yeah, we can be responsible. We can do that. Or…"
Shang-Chi and Katy,"♪ Over, sideways and under on a… ♪ ♪ Take my horse to the old town road ♪ ♪ I’m gonna ♪ ♪ Close my eyes ♪ ♪ I don’t wanna… ♪"
Shang-Chi,"Morning, Mrs Chen."
Mrs Chen,She’s not ready yet.
Katy,Come have some joe while you wait.
Mrs Chen,"Katy, Shaun’s here."
Katy,"Yeah, Mom, be there in a minute."
Mrs Chen,"Ruihua, you’re supposed to be helping your dad stock the shop."
Ruihua,"Mom, I can’t work on an empty stomach, my legs get crampy. Maybe Shaun can help him instead of just showing up every day to eat our food."
Shang-Chi,I’m happy to help.
Mrs Chen,"No, it’s Ruihua’s job, let him do it."
Shang-Chi,Waipo.
Waipo,That seat’s for Waigong.
Shang-Chi,"Oh, sorry."
Waipo,He’s getting all his favourite things this year for the Day of the Dead.
Shang-Chi,Are you sure that Waigong’s allowed to take Funyuns and cigarettes back to the afterlife.
Waipo,He can take anything. Last year I put a bottle of whisky on his grave… And it was gone the next morning.
Waipo,I know you kids think it’s silly.
Katy,"We don’t think it’s silly, Waipo. We just know Waigong would’ve wanted you to move on and enjoy your life."
