Line,Strat Time,End Time
The Legend of the Ten Rings,"00:00:44,629 "," 00:00:47,215"
has been told for thousands of years.,"00:00:47,424 "," 00:00:50,093"
"Every generation,the story grows.","00:00:51,970 "," 00:00:56,433"
But at it's centrethere is always one man.,"00:00:56,599 "," 00:01:01,396"
Some say he found the rings in a crateror stole them from a tomb.,"00:01:10,113 "," 00:01:16,953"
"They gave him the strength of a god,","00:01:19,706 "," 00:01:22,542"
and the gift of eternal life.,"00:01:22,709 "," 00:01:26,212"
He could have used them for good.,"00:01:32,761 "," 00:01:36,389"
But all he wanted...,"00:01:40,810 "," 00:01:42,979"
was power.,"00:01:43,146 "," 00:01:44,856"
He called his army The Ten Rings.,"00:02:26,940 "," 00:02:30,485"
"Over the centuries, they spreadinto every corner of the world.","00:02:32,695 "," 00:02:37,826"
They moved in the shadows...,"00:02:45,166 "," 00:02:47,961"
Toppled governments...,"00:02:50,338 "," 00:02:52,382"
And changed the course of history.,"00:02:54,926 "," 00:02:56,970"
He chased money and powerfor a thousand years.,"00:03:13,194 "," 00:03:17,490"
But he still wanted more.,"00:03:18,324 "," 00:03:21,452"
Have you heard the legend of Ta Lo?,"00:03:26,791 "," 00:03:28,543"
A hidden village with mythical creaturesand ancient magic.,"00:03:29,961 "," 00:03:34,841"
Where people practisea martial arts style from the gods.,"00:03:35,008 "," 00:03:39,971"
I want to find it.,"00:03:40,263 "," 00:03:42,015"
"Of course. I'll send a scoutto explore the area,","00:03:42,181 "," 00:03:45,643"
and come backwith more information.,"00:03:45,810 "," 00:03:48,438"
I want to go now.,"00:03:50,690 "," 00:03:52,567"
The forest...,"00:04:16,174 "," 00:04:17,342"
...is moving.,"00:04:19,302 "," 00:04:21,930"
He had nothing lefton Earth to conquer.,"00:04:52,126 "," 00:04:55,838"
That's when he camefor my home.,"00:04:59,968 "," 00:05:04,472"
Where's the entranceto Ta Lo?,"00:05:13,564 "," 00:05:15,817"
You're not welcomein our village.,"00:05:17,568 "," 00:05:19,862"
You don't know whoyou're talking to.,"00:05:21,447 "," 00:05:23,574"
I don't care who you are.,"00:05:24,158 "," 00:05:25,827"
"Turn around now,and I won't have to hurt you.","00:05:26,536 "," 00:05:30,373"
Is that all?,"00:05:38,840 "," 00:05:40,341"
That was the first timeI met your father.,"00:07:59,814 "," 00:08:02,316"
He was the last personI thought I'd fall for.,"00:08:06,070 "," 00:08:09,824"
But love had other plans.,"00:08:11,742 "," 00:08:14,579"
"ShangChi,","00:08:18,249 "," 00:08:20,543"
"there's much more to knowabout the legend of the rings,","00:08:20,710 "," 00:08:23,504"
but you'll learn about thatwhen you're older.,"00:08:23,671 "," 00:08:27,466"
"If Dad's rings were so powerful,how did you beat him?","00:08:28,134 "," 00:08:33,347"
"Where I'm from, we are empoweredby the magic of the Great Protector.","00:08:35,057 "," 00:08:41,856"
"When you have the heartof our dragon,","00:08:46,569 "," 00:08:49,197"
you can do some amazing things.,"00:08:49,363 "," 00:08:52,408"
Can you still do those things?,"00:08:52,992 "," 00:08:55,870"
"I left those powers in Ta Lowith our dragon,","00:08:57,747 "," 00:09:01,959"
but what I got in returnis so much better.,"00:09:02,126 "," 00:09:05,588"
I want you to have this.,"00:09:09,675 "," 00:09:11,844"
"Whenever you feel lost,","00:09:13,638 "," 00:09:15,848"
this will help youfind your way home.,"00:09:16,015 "," 00:09:19,018"
Can you remember that?,"00:09:19,810 "," 00:09:21,270"
Okay.,"00:09:41,249 "," 00:09:42,458"
"Hello, sir,","00:10:44,603 "," 00:10:45,604"
welcome to the Fairmont...,"00:10:45,730 "," 00:10:48,065"
I'm driving.,"00:10:48,566 "," 00:10:49,567"
"No, you're not... Katy.","00:10:49,734 "," 00:10:51,193"
"Hey, hey, get back here.","00:10:51,360 "," 00:10:53,237"
Give me the key.,"00:10:53,321 "," 00:10:54,363"
Please open the door.,"00:10:55,865 "," 00:10:58,200"
"Oh, my God.","00:10:58,284 "," 00:11:00,828"
 Get out. You get in!,"00:11:01,120 "," 00:11:02,955"
"Look, if happensto this thing,","00:11:03,039 "," 00:11:04,081"
we're gonna be jobless,"00:11:04,165 "," 00:11:05,166"
and in debtfor the rest of our lives.,"00:11:05,333 "," 00:11:06,500"
"Oh, come on. Nothing's gonnahappen to this car.","00:11:06,667 "," 00:11:08,753"
I'm the Asian Jeff Gordon.,"00:11:08,919 "," 00:11:10,338"
I don't know who that is.,"00:11:10,504 "," 00:11:11,672"
Most career winsin all of NASCAR history?,"00:11:11,839 "," 00:11:13,632"
Please get out of the car.,"00:11:13,799 "," 00:11:15,301"
"Shaun,","00:11:15,760 "," 00:11:16,761"
"we've been friendsfor 10 years, okay?","00:11:16,886 "," 00:11:18,971"
You know I'm not an idiot.,"00:11:19,138 "," 00:11:21,182"
"Please, get in. I'll go slow.","00:11:21,640 "," 00:11:24,393"
"Katy, watch the...","00:11:26,979 "," 00:11:28,689"
I knew Katy was trouble,"00:11:35,404 "," 00:11:36,405"
the first day we metin high school.,"00:11:36,489 "," 00:11:37,823"
"I was getting picked on a lot,","00:11:38,032 "," 00:11:39,075"
for all the reasonswe all get picked on a lot.,"00:11:39,158 "," 00:11:41,077"
"Plus, I had just movedto the US,","00:11:41,577 "," 00:11:42,953"
"so I was strugglingwith my English,","00:11:43,037 "," 00:11:44,497"
and I was on my wayto lunch one day,"00:11:44,663 "," 00:11:45,748"
when this guywho was like twice my size,"00:11:45,831 "," 00:11:47,666"
"yells at mefrom down the hall,","00:11:47,750 "," 00:11:48,751"
"What's up, Gangnam Style?","00:11:48,834 "," 00:11:50,127"
"So I yelled back,I'm not Korean, idiot.","00:11:50,878 "," 00:11:52,755"
"And I turn the corner,","00:11:52,838 "," 00:11:53,839"
"and I see this guydrop his backpack,","00:11:53,923 "," 00:11:55,549"
he's gettingall up in his face...,"00:11:55,716 "," 00:11:56,967"
"And right before he was aboutto throw the first punch,","00:11:57,134 "," 00:11:58,928"
"Katy comes out of nowhere,","00:11:59,095 "," 00:12:00,930"
steps right between usand starts screaming the lyrics,"00:12:01,097 "," 00:12:04,350"
to Hotel California.,"00:12:04,433 "," 00:12:05,851"
What?,"00:12:06,018 "," 00:12:07,019"
It's the art of confusion.Works great on stupid people.,"00:12:07,186 "," 00:12:09,230"
And that's how we met.,"00:12:09,438 "," 00:12:10,481"
Then I pulled himinto the parking lot...,"00:12:10,648 "," 00:12:12,066"
At which point she revealed,"00:12:12,233 "," 00:12:13,359"
that she had also swipedthe keys to the guy's Mustang.,"00:12:13,442 "," 00:12:15,736"
"Yeah, we went on a littlejoyride around the block.","00:12:15,903 "," 00:12:17,988"
"And your wifewas in the car, too.","00:12:18,072 "," 00:12:19,532"
 That's true. You were. What?,"00:12:19,698 "," 00:12:21,325"
I was just in the back seat.,"00:12:21,409 "," 00:12:22,827"
That's a part of the car.,"00:12:22,910 "," 00:12:23,911"
That's stilla part of the car.,"00:12:23,994 "," 00:12:25,079"
How have younever told me this story?,"00:12:25,162 "," 00:12:26,789"
"You know,before she was a lawyer,","00:12:26,956 "," 00:12:28,124"
your girl was pretty wild.,"00:12:28,207 "," 00:12:29,458"
Oh! What happened?,"00:12:29,708 "," 00:12:31,293"
I grew up.,"00:12:33,129 "," 00:12:34,296"
What's that supposed to mean?,"00:12:34,880 "," 00:12:36,090"
"Yeah, what's thatsupposed to mean?","00:12:36,173 "," 00:12:37,174"
That maybe there's a point,"00:12:37,258 "," 00:12:38,926"
where you're supposedto stop going on joyrides,"00:12:39,009 "," 00:12:40,970"
and start thinking aboutliving up to your potential.,"00:12:41,137 "," 00:12:43,556"
"Please tell meyou're kidding, Soo.","00:12:43,722 "," 00:12:45,224"
"Look,","00:12:45,391 "," 00:12:46,392"
we're now living in a world,"00:12:46,600 "," 00:12:47,643"
where at any moment,"00:12:47,726 "," 00:12:48,727"
half the populationcan just disappear.,"00:12:48,811 "," 00:12:50,563"
Life's too shortand too fragile.,"00:12:51,313 "," 00:12:53,566"
"Katy, you're a valet driver","00:12:53,732 "," 00:12:55,317"
"with an honours degreefrom Berkeley,","00:12:55,401 "," 00:12:56,861"
"and Shaun can speak,like, four languages.","00:12:57,027 "," 00:12:59,280"
You've always been the mosttalented people I know.,"00:12:59,447 "," 00:13:01,365"
I just don't get whyyou're scared,"00:13:01,532 "," 00:13:03,617"
to actually use itfor something serious.,"00:13:03,701 "," 00:13:05,578"
Wow.,"00:13:06,287 "," 00:13:07,288"
You sound like my mom.You also...,"00:13:08,164 "," 00:13:10,875"
"dress like hera little bit, too.","00:13:11,041 "," 00:13:12,376"
"Where's this from, Talbots?","00:13:12,460 "," 00:13:14,503"
We're not runningfrom adulthood.,"00:13:14,587 "," 00:13:16,505"
How is it running to have jobsthat you actually like?,"00:13:16,672 "," 00:13:18,966"
"Yeah, that doesn'teven make any sense.","00:13:19,133 "," 00:13:20,634"
Did you thinkvalet parking is easy?,"00:13:20,718 "," 00:13:23,095"
It's like the mostchallenging job ever.,"00:13:23,262 "," 00:13:25,181"
"You need people skills,driving skills...","00:13:25,264 "," 00:13:27,516"
Soo can't evenparallel park.,"00:13:27,725 "," 00:13:29,226"
"Well, it's almost midnight.We got the early shift.","00:13:32,897 "," 00:13:35,566"
"Should probably beresponsible, go to sleep.","00:13:36,150 "," 00:13:38,736"
"Yeah, we can be responsible.We can do that.","00:13:38,903 "," 00:13:40,613"
Or...,"00:13:40,779 "," 00:13:42,239"
"Over,sideways and under on a...","00:13:42,406 "," 00:13:46,118"
Take my horseto the old town road,"00:13:46,285 "," 00:13:48,496"
I'm gonna,"00:13:48,579 "," 00:13:49,580"
Close my eyes,"00:13:49,663 "," 00:13:51,790"
I don't wanna...,"00:13:52,541 "," 00:13:53,626"
"Morning, Mrs. Chen.","00:14:27,535 "," 00:14:28,661"
She's not ready yet.,"00:14:28,827 "," 00:14:29,954"
Come have some joewhile you wait.,"00:14:30,120 "," 00:14:31,789"
"Katy, Shaun's here.","00:14:33,457 "," 00:14:35,417"
"Yeah, Mom,be there in a minute.","00:14:35,584 "," 00:14:37,336"
"Ruihua,","00:14:37,419 "," 00:14:38,420"
you're supposed to be helpingyour dad stock the shop.,"00:14:38,504 "," 00:14:41,006"
"Mom, I can't work on an emptystomach, my legs get crampy.","00:14:41,173 "," 00:14:44,343"
Maybe Shaun can help him,"00:14:44,510 "," 00:14:45,886"
instead of just showing upevery day to eat our food.,"00:14:45,970 "," 00:14:48,180"
I'm happy to help.,"00:14:48,347 "," 00:14:49,557"
"No, it's Ruihua's job,let him do it.","00:14:49,723 "," 00:14:52,434"
Waipo.,"00:14:53,102 "," 00:14:54,144"
That seat's for Waigong.,"00:14:55,312 "," 00:14:56,939"
"Oh, sorry.","00:14:57,565 "," 00:14:59,108"
He's getting all his favourite thingsthis year for the Day of the Dead.,"00:14:59,191 "," 00:15:04,613"
Are you surethat Waigong's allowed to take,"00:15:04,780 "," 00:15:06,365"
Funyuns and cigarettes,"00:15:06,448 "," 00:15:07,449"
back to the afterlife?,"00:15:07,533 "," 00:15:08,742"
He can take anything.,"00:15:08,826 "," 00:15:10,578"
Last year I put a bottle of whiskyon his grave...,"00:15:10,744 "," 00:15:14,748"
And it was gone the next morning.,"00:15:15,124 "," 00:15:16,834"
I know you kids think it's silly.,"00:15:18,168 "," 00:15:21,422"
"We don't thinkit's silly, Waipo.","00:15:21,505 "," 00:15:23,299"
We just know Waigong would'vewanted you to move on,"00:15:23,924 "," 00:15:25,968"
and enjoy your life.,"00:15:26,051 "," 00:15:27,136"
Moving onis an American idea.,"00:15:27,219 "," 00:15:29,430"
"You're American, Mom!Don't forget.","00:15:29,597 "," 00:15:31,765"
"Shaun,","00:15:32,349 "," 00:15:33,350"
did my daughter applyto any new jobs this week?,"00:15:33,517 "," 00:15:36,687"
She really likes her job.,"00:15:36,854 "," 00:15:38,606"
We both do.,"00:15:38,772 "," 00:15:39,857"
Mmhmm.,"00:15:39,940 "," 00:15:40,941"
Waigong didn't move herefrom Hunan,"00:15:41,025 "," 00:15:42,818"
so you could park carsfor a living.,"00:15:42,985 "," 00:15:44,528"
"Well, on that note,","00:15:46,488 "," 00:15:47,573"
I think we're gonnamiss our bus.,"00:15:47,656 "," 00:15:49,116"
Mm.,"00:15:49,199 "," 00:15:50,242"
I'm sorryfor my unacceptable job.,"00:15:50,326 "," 00:15:52,077"
"And for staying out latelast night,","00:15:52,244 "," 00:15:53,537"
