Line,Strat Time,End Time
"Long before the birth of light,there was darkness.","00:00:34,034 "," 00:00:38,621"
And from that darknesscame the Dark Elves.,"00:00:38,789 "," 00:00:42,834"
"Millennia ago,the most ruthless of their kind, Malekith","00:00:44,712 "," 00:00:48,423"
sought to transform our universeback into one of eternal night.,"00:00:48,590 "," 00:00:53,428"
"Such evil was possiblethrough the power of the Aether,","00:00:55,889 "," 00:01:00,601"
an ancient force of infinite destruction.,"00:01:00,811 "," 00:01:04,480"
Malekith.,"00:01:07,651 "," 00:01:08,776"
Asgard's forces are upon us.,"00:01:08,944 "," 00:01:10,653"
"The noble armies of Asgard,led by my father, King Bor,","00:01:19,079 "," 00:01:23,374"
waged a mighty waragainst these creatures.,"00:01:23,500 "," 00:01:26,419"
Send in the Kursed!,"00:01:37,389 "," 00:01:39,682"
"As the Nine Worldsconverged above him,","00:01:56,492 "," 00:01:59,285"
Malekith could at lastunleash the Aether.,"00:01:59,369 "," 00:02:03,831"
Ahh!,"00:02:18,055 "," 00:02:19,138"
But Asgard rippedthe weapon from his grasp.,"00:02:21,975 "," 00:02:25,228"
"Without it, the Dark Elves fell.","00:02:26,271 "," 00:02:28,439"
"With the battle all but lost,","00:02:43,330 "," 00:02:44,914"
Malekith sacrificed his own people,"00:02:45,207 "," 00:02:47,583"
in a desperate attemptto lay waste to Asgard's army.,"00:02:48,418 "," 00:02:52,463"
Their deaths will mean our survival.,"00:02:55,300 "," 00:02:57,635"
This war is far from over.,"00:02:59,096 "," 00:03:01,097"
"Malekith was vanquished,and the Aether was no more.","00:03:08,730 "," 00:03:14,318"
Or so we were led to believe.,"00:03:15,362 "," 00:03:17,238"
"Sire, the Aether. Shall we destroy it?","00:03:18,699 "," 00:03:22,034"
If only we could.,"00:03:22,703 "," 00:03:25,079"
But its power is too great.,"00:03:25,247 "," 00:03:27,081"
Bury it deep.,"00:03:27,791 "," 00:03:30,167"
Somewhere no one will ever find it.,"00:03:30,544 "," 00:03:32,712"
Loki.,"00:04:14,504 "," 00:04:15,546"
"Hello, Mother.","00:04:16,048 "," 00:04:17,256"
Have I made you proud?,"00:04:18,091 "," 00:04:19,634"
"Please, don't make this worse.","00:04:19,801 "," 00:04:22,178"
Define worse.,"00:04:22,512 "," 00:04:24,096"
Enough!,"00:04:24,264 "," 00:04:25,848"
I will speak to the prisoner alone.,"00:04:26,016 "," 00:04:28,309"
I really don't seewhat all the fuss is about.,"00:04:42,366 "," 00:04:44,700"
Do you not truly feelthe gravity of your crimes?,"00:04:44,868 "," 00:04:48,245"
